erg_gene	w303_id	affected_genes	high_impact_variants	moderate_impact_variants	total_variants	closest_affected_gene	closest_affected_gene_name	closest_affected_gene_distance
ERG11	W3030H00650	2	19	0	19	W3030H00610	W3030H00610	8149.0
ERG3	W3030L01320	2	0	16	16	W3030L01480	W3030L01480	26116.0
ERG7	W3030H01440	1	15	0	15	W3030H01660	W3030H01660	47676.0
ERG4	W3030G02340	1	0	15	15	W3030G02200	W3030G02200	26130.0
ERG24	W3030Q00650	1	0	6	6	W3030Q00680	W3030Q00680	7196.0
ERG5	W3030P01520	2	0	4	4	W3030P01730	W3030P01730	40870.0
ERG1	W3030G04090	1	0	1	1	W3030G04250	W3030G04250	39592.0
ERG9	W3030H02610	0	0	0	0			
ERG25/ERG26/ERG27	W3030G02990	0	0	0	0			
ERG6	W3030P01300	0	0	0	0			
ERG2	W3030P03320	0	0	0	0			
