# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
W3030AC00100	Gene_1809_2984	W303_0AC00100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AC00110	Gene_3463_6156	W303_0AC00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AK00100	Gene_687_1646	W303_0AK00100	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AK00110	Gene_2021_4396	W303_0AK00110	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AK00120	Gene_4651_5475	W303_0AK00120	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AL00270	Gene_34075_35679	W303_0AL00270	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9
W3030AL00280	Gene_36492_37130	W303_0AL00280	protein_coding	0	0	0	9	0	0	9	0	0	0	0	0
W3030AL00290	Gene_37706_38755	W303_0AL00290	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9
W3030AL00300	Gene_39414_40094	W303_0AL00300	protein_coding	0	0	0	9	0	0	9	0	0	0	0	0
W3030AL00310	Gene_40659_42683	W303_0AL00310	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9
W3030AL00320	Gene_43078_44847	W303_0AL00320	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9
W3030AN00210	Gene_17513_18388	W303_0AN00210	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AN00220	Gene_18661_19056	W303_0AN00220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AN00230	Gene_19316_20608	W303_0AN00230	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AN00240	Gene_21218_23770	W303_0AN00240	protein_coding	0	0	1	0	1	0	0	0	0	0	0	0
W3030AN00250	Gene_24957_26111	W303_0AN00250	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AN00260	Gene_26345_27100	W303_0AN00260	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AN00270	Gene_27466_28197	W303_0AN00270	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AO00240	Gene_29574_31238	W303_0AO00240	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AO00250	Gene_31773_33134	W303_0AO00250	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AO00260	Gene_33488_34417	W303_0AO00260	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AO00270	Gene_34883_36238	W303_0AO00270	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AO00280	Gene_36532_39930	W303_0AO00280	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AO00330	Gene_53067_53819	W303_0AO00330	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AO00340	Gene_54117_55190	W303_0AO00340	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AO00350	Gene_58479_59198	W303_0AO00350	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AO00360	Gene_59624_60460	W303_0AO00360	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AO00370	Gene_60696_61637	W303_0AO00370	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AO00380	Gene_62136_63155	W303_0AO00380	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AP00100	Gene_754_1908	W303_0AP00100	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030AP00110	Gene_2364_5111	W303_0AP00110	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030AR00100	Gene_1855_2805	W303_0AR00100	protein_coding	0	0	0	18	0	0	0	0	0	0	0	18
W3030AR00110	Gene_3784_5045	W303_0AR00110	protein_coding	0	0	0	18	0	0	0	0	0	0	0	18
W3030AR00120	Gene_5518_6804	W303_0AR00120	protein_coding	0	0	0	10	0	0	0	0	0	0	0	10
W3030AT00110	Gene_7898_8647	W303_0AT00110	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030AT00120	Gene_10512_11306	W303_0AT00120	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030AT00130	Gene_13988_15850	W303_0AT00130	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030AU00130	Gene_6824_8908	W303_0AU00130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030AU00140	Gene_9417_10031	W303_0AU00140	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AU00150	Gene_10480_10941	W303_0AU00150	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030AU00160	Gene_12792_14927	W303_0AU00160	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AX00100	Gene_966_1547	W303_0AX00100	protein_coding	0	0	0	11	0	0	11	0	0	0	0	0
W3030AX00110	Gene_3120_4796	W303_0AX00110	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11
W3030AX00280	Gene_42352_43725	W303_0AX00280	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AX00290	Gene_45157_49212	W303_0AX00290	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030AX00300	Gene_49391_50170	W303_0AX00300	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AX00310	Gene_50618_50977	W303_0AX00310	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030AX00320	Gene_51852_55073	W303_0AX00320	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BC00100	Gene_126_743	W303_0BC00100	protein_coding	0	1	2	2	0	0	0	0	2	0	1	2
W3030BC00110	Gene_1108_2868	W303_0BC00110	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0
W3030BD00100	Gene_241_993	W303_0BD00100	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030BD00110	Gene_1191_3890	W303_0BD00110	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BD00120	Gene_4131_4508	W303_0BD00120	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BD00130	Gene_4867_5499	W303_0BD00130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BD00140	Gene_5494_7071	W303_0BD00140	protein_coding	0	0	0	3	0	0	1	0	0	0	0	2
W3030BD00150	Gene_7290_8645	W303_0BD00150	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030BD00160	Gene_9210_9713	W303_0BD00160	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030BD00170	Gene_9940_12582	W303_0BD00170	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0
W3030BD00180	Gene_13060_16356	W303_0BD00180	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030BE00100	Gene_1592_2560	W303_0BE00100	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7
W3030BE00110	Gene_5888_7333	W303_0BE00110	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030BE00120	Gene_7852_8817	W303_0BE00120	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7
W3030BE00130	Gene_9000_10499	W303_0BE00130	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0
W3030BE00270	Gene_40555_40824	W303_0BE00270	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BE00280	Gene_41270_42637	W303_0BE00280	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BE00290	Gene_42924_44810	W303_0BE00290	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BE00300	Gene_45352_46118	W303_0BE00300	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030BE00310	Gene_46408_47346	W303_0BE00310	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BE00320	Gene_47520_50084	W303_0BE00320	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BE00330	Gene_50286_51614	W303_0BE00330	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BF00260	Gene_37727_40849	W303_0BF00260	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030BF00270	Gene_41387_43507	W303_0BF00270	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0
W3030BF00280	Gene_43644_44207	W303_0BF00280	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
W3030BF00290	Gene_45563_48844	W303_0BF00290	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030BH00100	Gene_61_2472	W303_0BH00100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BH00110	Gene_2713_2955	W303_0BH00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BH00120	Gene_3250_6576	W303_0BH00120	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030BH00130	Gene_7041_8903	W303_0BH00130	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BT00100	Gene_1011_2138	W303_0BT00100	protein_coding	0	0	0	4	0	0	2	0	0	0	0	2
W3030BT00110	Gene_2714_4771	W303_0BT00110	protein_coding	0	0	1	3	0	0	0	0	1	0	0	3
W3030BT00120	Gene_4955_6022	W303_0BT00120	protein_coding	0	0	0	4	0	0	4	0	0	0	0	0
W3030BT00130	Gene_6500_7240	W303_0BT00130	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030BT00140	Gene_7583_8542	W303_0BT00140	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BW00100	Gene_827_2224	W303_0BW00100	protein_coding	1	4	7	11	0	1	10	1	6	0	4	1
W3030BW00110	Gene_3166_3810	W303_0BW00110	protein_coding	0	0	0	23	0	0	23	0	0	0	0	0
W3030BW00120	Gene_4061_4612	W303_0BW00120	protein_coding	0	0	0	23	0	0	0	0	0	0	0	23
W3030BW00130	Gene_4982_7186	W303_0BW00130	protein_coding	0	0	0	23	0	0	23	0	0	0	0	0
W3030BX00180	Gene_18627_24413	W303_0BX00180	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BX00190	Gene_24705_26153	W303_0BX00190	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030BX00200	Gene_26399_27472	W303_0BX00200	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BX00210	Gene_27805_28446	W303_0BX00210	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030BX00220	Gene_28693_31674	W303_0BX00220	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BX00230	Gene_31941_34397	W303_0BX00230	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030BY00190	Gene_19025_20359	W303_0BY00190	protein_coding	0	0	0	8	0	0	8	0	0	0	0	0
W3030BY00200	Gene_20410_20811	W303_0BY00200	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8
W3030BY00210	Gene_21006_21842	W303_0BY00210	protein_coding	0	0	0	8	0	0	8	0	0	0	0	0
W3030BY00220	Gene_21892_22416	W303_0BY00220	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8
W3030BY00230	Gene_22837_24576	W303_0BY00230	protein_coding	0	4	4	0	0	0	0	0	4	0	4	0
W3030BY00240	Gene_24927_25892	W303_0BY00240	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8
W3030BY00250	Gene_26111_27838	W303_0BY00250	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8
W3030BY00260	Gene_28076_30367	W303_0BY00260	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8
W3030C00100	Gene_189_1184	W303_0C00100	protein_coding	2	0	0	0	0	0	0	2	0	0	0	0
W3030C00110	Gene_1640_1900	W303_0C00110	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030C00120	Gene_2375_2996	W303_0C00120	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030C00130	Gene_3493_4368	W303_0C00130	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030C00140	Gene_5121_6356	W303_0C00140	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
W3030CA00210	Gene_27706_30870	W303_0CA00210	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CA00220	Gene_31257_34091	W303_0CA00220	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030CA00230	Gene_34260_34739	W303_0CA00230	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CA00240	Gene_35054_35602	W303_0CA00240	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CA00250	Gene_35752_36357	W303_0CA00250	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CA00260	Gene_36527_37798	W303_0CA00260	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CB00230	Gene_28305_31652	W303_0CB00230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CB00240	Gene_32253_32614	W303_0CB00240	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CB00250	Gene_32862_36899	W303_0CB00250	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0
W3030CB00260	Gene_37599_38153	W303_0CB00260	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CB00270	Gene_38520_41609	W303_0CB00270	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CC00100	Gene_12_413	W303_0CC00100	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
W3030CC00110	Gene_1017_3878	W303_0CC00110	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1
W3030CC00120	Gene_4145_5017	W303_0CC00120	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1
W3030CC00130	Gene_6481_7434	W303_0CC00130	protein_coding	1	0	0	0	0	0	0	1	0	1	0	0
W3030CC00140	Gene_7718_9466	W303_0CC00140	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CC00150	Gene_9655_10905	W303_0CC00150	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CC00160	Gene_11778_14927	W303_0CC00160	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CF00100	Gene_1_1089	W303_0CF00100	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0
W3030CF00110	Gene_1779_4538	W303_0CF00110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CF00120	Gene_4765_5811	W303_0CF00120	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CJ00100	Gene_1006_2238	W303_0CJ00100	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0
W3030CJ00110	Gene_2570_4372	W303_0CJ00110	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CJ00120	Gene_5379_6119	W303_0CJ00120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CJ00130	Gene_6230_8683	W303_0CJ00130	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CL00100	Gene_588_743	W303_0CL00100	protein_coding	0	0	0	13	0	0	13	0	0	0	0	0
W3030CL00110	Gene_2209_2985	W303_0CL00110	protein_coding	0	0	0	13	0	0	0	0	0	0	0	13
W3030CL00120	Gene_3191_3742	W303_0CL00120	protein_coding	0	0	0	13	0	0	13	0	0	0	0	0
W3030CL00130	Gene_4085_9031	W303_0CL00130	protein_coding	0	0	0	13	0	0	0	0	0	0	0	13
W3030CP00100	Gene_1580_3952	W303_0CP00100	protein_coding	0	0	1	0	1	0	0	0	0	0	0	0
W3030CP00110	Gene_4580_5542	W303_0CP00110	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CP00250	Gene_31458_34610	W303_0CP00250	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0
W3030CP00260	Gene_34967_35251	W303_0CP00260	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0
W3030CP00270	Gene_35440_35928	W303_0CP00270	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6
W3030CP00280	Gene_37736_39679	W303_0CP00280	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0
W3030CP00290	Gene_39942_40568	W303_0CP00290	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0
W3030CP00300	Gene_40784_41872	W303_0CP00300	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0
W3030CQ00200	Gene_16631_24649	W303_0CQ00200	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030CQ00210	Gene_25005_26291	W303_0CQ00210	protein_coding	0	0	0	2	0	0	1	0	0	0	0	1
W3030CQ00220	Gene_27013_31476	W303_0CQ00220	protein_coding	0	1	0	1	0	0	1	0	0	0	1	0
W3030CQ00230	Gene_31876_32583	W303_0CQ00230	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CQ00240	Gene_32869_33480	W303_0CQ00240	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CQ00250	Gene_35267_38320	W303_0CQ00250	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CQ00260	Gene_38613_40115	W303_0CQ00260	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
W3030CS00100	Gene_2_2023	W303_0CS00100	protein_coding	0	2	3	0	0	0	0	0	3	0	2	0
W3030CS00110	Gene_2769_4451	W303_0CS00110	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0
W3030CS00120	Gene_4926_6026	W303_0CS00120	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0
W3030CT00210	Gene_32528_33580	W303_0CT00210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CT00220	Gene_34830_35252	W303_0CT00220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CT00230	Gene_35705_37669	W303_0CT00230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
W3030CT00240	Gene_38115_39929	W303_0CT00240	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0
W3030DI00100	Gene_1067_2308	W303_0DI00100	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0
