Sample	Treatment	Scaffold	Position	Ref	Alt	Quality	Variant_Type	Effect	Impact	Gene_ID	Nearest_Gene	Nearest_Gene_SC_ID	Nearest_Gene_ERG	Distance	Position_Relative	Distance_Category	Regulatory_Region	Regulatory_Type	Conservation_Zone	TFBS	TFBS_Impact	Motif_Disruption_Score	Variant_ID
CAS-55-1	CAS	w303_scaffold_7	579658	TA	T	34.4426	DELETION	upstream_gene_variant	MODIFIER	W3030G02850	W3030G02990	YGR060W	ERG25	28033	upstream	10000-50000	UAS_distal	upstream	unknown				w303_scaffold_7:579658:TA:T
CAS-55-1	CAS	w303_scaffold_8	142266	C	G	225.417	SNV	upstream_gene_variant	MODIFIER	W3030H00760	W3030H00650	YHR007C	ERG11	24964	downstream	10000-50000	far_upstream	upstream	unknown				w303_scaffold_8:142266:C:G
CAS-55-1	CAS	w303_scaffold_16	698989	T	TAA	65.7529	INSERTION	upstream_gene_variant	MODIFIER	W3030P03470	W3030P03320	YMR202W	ERG2	30473	downstream	10000-50000	far_upstream	upstream	unknown				w303_scaffold_16:698989:T:TAA
CAS-55-1	CAS	w303_scaffold_17	155477	GAA	G	25.3707	DELETION	upstream_gene_variant	MODIFIER	W3030Q00810	W3030Q00650	YNL280C	ERG24	44512	downstream	10000-50000	UAS_proximal	upstream	unknown				w303_scaffold_17:155477:GAA:G
CAS-55-2	CAS	w303_scaffold_7	579658	TA	T	61.7103	DELETION	upstream_gene_variant	MODIFIER	W3030G02850	W3030G02990	YGR060W	ERG25	28033	upstream	10000-50000	UAS_distal	upstream	unknown				w303_scaffold_7:579658:TA:T
CAS-55-2	CAS	w303_scaffold_8	112675	G	GA	129.416	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	3034	upstream	1000-5000	far_upstream	upstream	unknown				w303_scaffold_8:112675:G:GA
CAS-55-2	CAS	w303_scaffold_8	142266	C	G	225.417	SNV	upstream_gene_variant	MODIFIER	W3030H00760	W3030H00650	YHR007C	ERG11	24964	downstream	10000-50000	far_upstream	upstream	unknown				w303_scaffold_8:142266:C:G
CAS-55-2	CAS	w303_scaffold_8	237175	GAA	G	89.0338	DELETION	upstream_gene_variant	MODIFIER	W3030H01340	W3030H01430	YHR072W	ERG7	9952	upstream	5000-10000	far_upstream	upstream	unknown				w303_scaffold_8:237175:GAA:G
CAS-55-3	CAS	w303_scaffold_7	579658	TA	T	42.6032	DELETION	upstream_gene_variant	MODIFIER	W3030G02850	W3030G02990	YGR060W	ERG25	28033	upstream	10000-50000	UAS_distal	upstream	unknown				w303_scaffold_7:579658:TA:T
CAS-55-3	CAS	w303_scaffold_8	107027	CT	C	59.3398	DELETION	upstream_gene_variant	MODIFIER	W3030H00590	W3030H00650	YHR007C	ERG11	8682	upstream	5000-10000	UAS_distal	upstream	unknown				w303_scaffold_8:107027:CT:C
CAS-55-3	CAS	w303_scaffold_8	142266	C	G	225.417	SNV	upstream_gene_variant	MODIFIER	W3030H00760	W3030H00650	YHR007C	ERG11	24964	downstream	10000-50000	far_upstream	upstream	unknown				w303_scaffold_8:142266:C:G
CAS-55-3	CAS	w303_scaffold_8	473874	C	CTA	140.928	INSERTION	upstream_gene_variant	MODIFIER	W3030H02520	W3030H02610	YHR190W	ERG9	19038	upstream	10000-50000	UAS_distal	upstream	unknown				w303_scaffold_8:473874:C:CTA
