Treatment	Scaffold	Length	Variants	Density	Global_Density	Fold_Enrichment	Expected_Count	P_Value	Q_Value
CAS	JRIU01000072.1	150714	72	0.477726	0.177942	2.684729	26.82	4.073806e-13	4.073806e-13
CAS	JRIU01000221.1	59649	27	0.452648	0.177942	2.543795	10.61	1.795151e-05	1.795151e-05
CAS-CTRL	JRIU01000072.1	150714	23	0.152607	0.061432	2.484146	9.26	1.006340e-04	1.006340e-04
CAS-CTRL	JRIU01000221.1	59649	9	0.150883	0.061432	2.456078	3.66	1.295135e-02	1.295135e-02
STC	JRIU01000072.1	150714	69	0.457821	0.158751	2.883900	23.93	4.986492e-14	4.986492e-14
STC	JRIU01000221.1	59649	27	0.452648	0.158751	2.851316	9.47	2.436730e-06	2.436730e-06
STC-CTRL	JRIU01000072.1	150714	23	0.152607	0.059314	2.572866	8.94	6.056022e-05	6.056022e-05
STC-CTRL	JRIU01000221.1	59649	9	0.150883	0.059314	2.543795	3.54	1.053071e-02	1.053071e-02
WT	JRIU01000221.1	59649	9	0.150883	0.055077	2.739472	3.29	6.724721e-03	6.724721e-03
WT	JRIU01000072.1	150714	21	0.139337	0.055077	2.529841	8.30	1.541166e-04	1.541166e-04
WT-37	JRIU01000072.1	150714	72	0.477726	0.162530	2.939304	24.50	5.822830e-15	5.822830e-15
WT-37	JRIU01000221.1	59649	27	0.452648	0.162530	2.785006	9.69	3.714249e-06	3.714249e-06
WTA	JRIU01000221.1	59649	27	0.452648	0.173705	2.605839	10.36	1.189527e-05	1.189527e-05
WTA	JRIU01000072.1	150714	67	0.444551	0.173705	2.559224	26.18	1.909113e-11	1.909113e-11
