Standard_ID	YGAP_ID	Chromosome	Roman_Numeral	Scaffold	Location	Product
YHR190W	W3030H02610	CM007971.1	VIII	scaffold 8	492912..494247	hypothetical protein
YGR175C	W3030G04090	CM007970.1	VII	scaffold 7	846495..847986	hypothetical protein
YHR072W	W3030H01440	CM007971.1	VIII	scaffold 8	249693..249870	hypothetical protein
YHR007C	W3030H00650	CM007971.1	VIII	scaffold 8	115709..117302	hypothetical protein
YNL280C	W3030Q00650	CM007977.1	XIV	scaffold 17	109648..110965	hypothetical protein
YGR060W	W3030G02990	CM007970.1	VII	scaffold 7	607691..608621	hypothetical protein
YML008C	W3030P01300	CM007976.1	XIII	scaffold 16	252164..253316	hypothetical protein
YMR202W	W3030P03320	CM007976.1	XIII	scaffold 16	667847..668516	hypothetical protein
YLR056W	W3030L01320	CM007975.1	XII	scaffold 12	269077..270175	hypothetical protein
YMR015C	W3030P01520	CM007976.1	XIII	scaffold 16	301194..302811	hypothetical protein
YGL012W	W3030G02340	CM007970.1	VII	scaffold 7	469848..471270	hypothetical protein
