source	target	interaction_type	edge_type	weight
W3030H02610	W3030G04090	activation	regulatory	
W3030G04090	W3030H01440			
W3030G04090	W3030G04250			2.5257627803596685e-05
W3030H01440	W3030H00650	activation	regulatory	
W3030H01440	W3030H01660			2.097491400285259e-05
W3030H00650	W3030Q00650			
W3030H00650	W3030H00610			0.00012271444348999877
W3030H00650	W3030H00410			2.442419949686149e-05
W3030H00650	W3030L01320	inhibition	regulatory	
W3030Q00650	W3030G02990	activation	regulatory	
W3030Q00650	W3030Q00680			0.00013896609227348526
W3030G02990	W3030P01300			
W3030P01300	W3030P03320			
W3030P03320	W3030L01320	activation	regulatory	
W3030L01320	W3030P01520			
W3030L01320	W3030L01080			2.1005755577028105e-05
W3030L01320	W3030L01480			3.8290703017307394e-05
W3030P01520	W3030G02340			
W3030P01520	W3030P01730			2.4467824810374356e-05
W3030P01520	W3030P01740			2.34571086767845e-05
W3030G02340	W3030G02200			3.827018752391887e-05
W3030G02340	W3030P01520	inhibition	regulatory	
