Scaffold	Variants	Length_kb	Density_per_kb
JRIU01000031.1	24	128.238	.187
JRIU01000195.1	9	17.280	.520
JRIU01000148.1	9	14.492	.621
JRIU01000157.1	8	.307	26.058
JRIU01000028.1	8	.976	8.196
JRIU01000209.1	6	.377	15.915
JRIU01000198.1	6	.283	21.201
JRIU01000174.1	6	.337	17.804
JRIU01000300.1	5	.272	18.382
JRIU01000294.1	5	.338	14.792
JRIU01000117.1	5	.211	23.696
JRIU01000171.1	4	.269	14.869
JRIU01000103.1	4	86.887	.046
JRIU01000094.1	4	79.276	.050
JRIU01000285.1	3	.278	10.791
JRIU01000246.1	3	38.089	.078
JRIU01000168.1	3	.985	3.045
JRIU01000135.1	3	68.146	.044
JRIU01000098.1	3	8.525	.351
JRIU01000072.1	3	150.714	.019
JRIU01000070.1	3	71.065	.042
JRIU01000051.1	3	.230	13.043
JRIU01000335.1	2	.584	3.424
JRIU01000334.1	2	.433	4.618
JRIU01000314.1	2	.414	4.830
JRIU01000290.1	2	.225	8.888
JRIU01000239.1	2	.215	9.302
JRIU01000154.1	2	193.654	.010
JRIU01000147.1	2	40.134	.049
JRIU01000126.1	2	133.998	.014
JRIU01000095.1	2	38.291	.052
JRIU01000037.1	2	243.759	.008
JRIU01000396.1	1	4.047	.247
JRIU01000378.1	1	2.401	.416
JRIU01000375.1	1	2.465	.405
JRIU01000355.1	1	.367	2.724
JRIU01000325.1	1	1.039	.962
JRIU01000299.1	1	.260	3.846
JRIU01000292.1	1	2.913	.343
JRIU01000289.1	1	.219	4.566
JRIU01000280.1	1	.226	4.424
JRIU01000254.1	1	4.950	.202
JRIU01000253.1	1	162.921	.006
JRIU01000243.1	1	9.473	.105
JRIU01000206.1	1	.321	3.115
JRIU01000205.1	1	54.996	.018
JRIU01000202.1	1	18.939	.052
JRIU01000192.1	1	114.136	.008
JRIU01000191.1	1	172.874	.005
JRIU01000183.1	1	110.511	.009
JRIU01000179.1	1	4.041	.247
JRIU01000177.1	1	76.725	.013
JRIU01000176.1	1	126.538	.007
JRIU01000166.1	1	20.288	.049
JRIU01000164.1	1	133.823	.007
JRIU01000149.1	1	23.978	.041
JRIU01000139.1	1	.270	3.703
JRIU01000123.1	1	117.283	.008
JRIU01000116.1	1	59.626	.016
JRIU01000115.1	1	16.715	.059
JRIU01000099.1	1	89.607	.011
JRIU01000076.1	1	10.056	.099
JRIU01000074.1	1	85.433	.011
JRIU01000067.1	1	67.078	.014
JRIU01000058.1	1	78.266	.012
JRIU01000052.1	1	65.944	.015
JRIU01000046.1	1	114.207	.008
JRIU01000043.1	1	209.686	.004
JRIU01000042.1	1	1.420	.704
JRIU01000036.1	1	41.874	.023
JRIU01000027.1	1	200.129	.004
JRIU01000012.1	1	150.181	.006
JRIU01000004.1	1	81.668	.012
