# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
W3030A00100	Gene_2096_4009	W303_0A00100	protein_coding	1	0	0	71	0	0	0	2	1	0	0	0	0	0	0	69
W3030A00110	Gene_4121_6148	W303_0A00110	protein_coding	0	1	1	73	0	0	0	70	0	1	0	0	0	0	1	3
W3030A00120	Gene_6454_8187	W303_0A00120	protein_coding	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	3
W3030A00130	Gene_8591_10480	W303_0A00130	protein_coding	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	5
W3030A00140	Gene_11547_12476	W303_0A00140	protein_coding	0	1	1	3	0	0	0	3	0	1	0	0	0	0	1	0
W3030A00150	Gene_13177_13836	W303_0A00150	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
W3030A00160	Gene_14066_15229	W303_0A00160	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0
W3030A00170	Gene_16384_17190	W303_0A00170	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030A00180	Gene_17362_18381	W303_0A00180	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A00190	Gene_18752_19525	W303_0A00190	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00200	Gene_19657_21009	W303_0A00200	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00210	Gene_23570_26227	W303_0A00210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A00220	Gene_26542_27729	W303_0A00220	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00260	Gene_33864_35102	W303_0A00260	protein_coding	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0
W3030A00270	Gene_36132_37280	W303_0A00270	protein_coding	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0
W3030A00280	Gene_38298_41318	W303_0A00280	protein_coding	0	2	7	16	0	0	0	16	0	7	0	0	0	0	2	0
W3030A00290	Gene_42267_43601	W303_0A00290	protein_coding	0	1	1	23	0	0	0	14	0	1	0	0	0	0	1	9
W3030A00300	Gene_44041_45489	W303_0A00300	protein_coding	0	0	0	24	0	0	0	14	0	0	0	0	0	0	0	10
W3030A00310	Gene_45911_46096	W303_0A00310	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0
W3030A00320	Gene_46468_46941	W303_0A00320	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0
W3030A00330	Gene_47618_49078	W303_0A00330	protein_coding	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0
W3030A00340	Gene_50288_51523	W303_0A00340	protein_coding	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0
W3030A00360	Gene_53404_54180	W303_0A00360	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A00370	Gene_54560_57187	W303_0A00370	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00380	Gene_57293_58507	W303_0A00380	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
W3030A00390	Gene_58734_59600	W303_0A00390	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00400	Gene_59844_62213	W303_0A00400	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A00410	Gene_62862_65111	W303_0A00410	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A00510	Gene_84091_86238	W303_0A00510	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00520	Gene_86509_87150	W303_0A00520	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00530	Gene_87991_88263	W303_0A00530	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A00540	Gene_89104_89424	W303_0A00540	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00550	Gene_89629_91821	W303_0A00550	protein_coding	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
W3030A00560	Gene_93066_95579	W303_0A00560	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00650	Gene_121288_122229	W303_0A00650	protein_coding	0	0	0	30	0	0	0	30	0	0	0	0	0	0	0	0
W3030A00660	Gene_122566_125400	W303_0A00660	protein_coding	0	0	0	30	0	0	0	30	0	0	0	0	0	0	0	0
W3030A00670	Gene_125553_126317	W303_0A00670	protein_coding	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	30
W3030A00680	Gene_127018_128454	W303_0A00680	protein_coding	0	0	0	30	0	0	0	30	0	0	0	0	0	0	0	0
W3030A00690	Gene_128858_130492	W303_0A00690	protein_coding	0	0	0	30	0	0	0	30	0	0	0	0	0	0	0	0
W3030A00700	Gene_130876_133077	W303_0A00700	protein_coding	0	0	0	30	0	0	0	30	0	0	0	0	0	0	0	0
W3030A00750	Gene_143734_144096	W303_0A00750	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00760	Gene_144522_146831	W303_0A00760	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00770	Gene_147542_148567	W303_0A00770	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00780	Gene_148974_149597	W303_0A00780	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
W3030A00790	Gene_149770_150585	W303_0A00790	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A00800	Gene_150868_151971	W303_0A00800	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A00810	Gene_152500_154560	W303_0A00810	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A01060	Gene_203856_204620	W303_0A01060	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A01070	Gene_205340_205660	W303_0A01070	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A01080	Gene_206380_206808	W303_0A01080	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A01090	Gene_207311_208690	W303_0A01090	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A01100	Gene_209041_210132	W303_0A01100	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
W3030A01110	Gene_210423_211565	W303_0A01110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030A01120	Gene_211656_212807	W303_0A01120	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030A01130	Gene_213155_216460	W303_0A01130	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AA00130	Gene_10917_11915	W303_0AA00130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030AA00140	Gene_12684_13589	W303_0AA00140	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AA00150	Gene_14043_15383	W303_0AA00150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030AA00160	Gene_15724_15933	W303_0AA00160	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AA00170	Gene_16888_17484	W303_0AA00170	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030AA00180	Gene_17704_18891	W303_0AA00180	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AA00190	Gene_19381_20739	W303_0AA00190	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AB00100	Gene_1805_3454	W303_0AB00100	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AB00110	Gene_3964_6363	W303_0AB00110	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AD00120	Gene_3332_6436	W303_0AD00120	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
W3030AD00130	Gene_6747_11090	W303_0AD00130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030AD00140	Gene_11233_12609	W303_0AD00140	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
W3030AD00150	Gene_12950_15112	W303_0AD00150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030AD00160	Gene_15868_16644	W303_0AD00160	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
W3030AE00100	Gene_1459_2106	W303_0AE00100	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030AE00110	Gene_2294_2890	W303_0AE00110	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AE00120	Gene_3171_3950	W303_0AE00120	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AE00130	Gene_4139_5620	W303_0AE00130	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030AE00140	Gene_5728_7644	W303_0AE00140	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AH00100	Gene_567_2033	W303_0AH00100	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AH00110	Gene_2648_3364	W303_0AH00110	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030AH00120	Gene_3425_4771	W303_0AH00120	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AI00110	Gene_1404_3338	W303_0AI00110	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AI00120	Gene_3647_4255	W303_0AI00120	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
W3030AI00130	Gene_4332_5810	W303_0AI00130	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
W3030AI00140	Gene_6051_7634	W303_0AI00140	protein_coding	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
W3030AI00150	Gene_8413_9315	W303_0AI00150	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
