#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	70993	252077	99.9429	41.2476	39	51.6
CM007965.1	1	844051	229590	843517	99.9367	40.0737	39.1	55.6
CM007966.1	1	341087	97318	340585	99.8528	41.9946	39.1	52.3
CM007967.1	1	1575129	431079	1574378	99.9523	40.3042	39.1	54
CM007968.1	1	572496	161612	571033	99.7445	41.5649	39.1	56.2
CM007969.1	1	277781	76951	277037	99.7322	40.769	39.1	55.1
CM007970.1	1	1092105	300797	1091487	99.9434	40.5915	39.1	56.9
CM007971.1	1	564939	158193	564739	99.9646	41.2283	39.1	54.7
CM007972.1	1	430780	120334	430478	99.9299	41.1225	39.1	57.4
CM007973.1	1	762303	216493	761994	99.9595	41.8356	39.1	54.6
CM007974.1	1	683383	185254	682972	99.9399	39.9386	39.1	58.4
CM007975.1	1	1084257	306958	1082517	99.8395	41.7087	39.1	53.1
LYZE01000019.1	1	3688	3510	2943	79.7993	136.952	38.9	0.00114
LYZE01000020.1	1	19305	380273	18706	96.8972	2870.17	39	10.4
LYZE01000021.1	1	11673	157032	11384	97.5242	1970.37	39	0.0103
CM007976.1	1	929095	259888	929036	99.9936	41.2306	39.1	56.7
CM007977.1	1	793416	212021	793031	99.9515	39.3752	39.1	55.3
CM007978.1	1	1108329	305404	1107834	99.9553	40.6086	39.1	56.5
CM007979.1	1	986200	272811	985748	99.9542	40.7602	39.1	53.7
CM007981.1	1	94871	207629	94806	99.9315	320.307	39	54.1
CM007980.1	1	6300	0	0	0	0	0	0
