#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000371.1	1	283	523	283	100	201.841	38.9	54
JRIU01000370.1	1	1261	622	1261	100	67.5163	39	58.5
JRIU01000369.1	1	339	2433	339	100	833.109	39	59
JRIU01000368.1	1	300	148	300	100	63.6333	38.9	56.6
JRIU01000367.1	1	203	86	203	100	48.9655	39	56.9
JRIU01000366.1	1	243	197	243	100	83.8724	38.8	59.9
JRIU01000365.1	1	1642	1497	1642	100	124.791	38.9	60
JRIU01000364.1	1	1260	657	1260	100	69.1635	38.8	58.4
JRIU01000363.1	1	639	275	639	100	59.5759	38.9	60
JRIU01000362.1	1	346	150	346	100	54.9162	39	59.7
JRIU01000361.1	1	329	173	329	100	68.4347	38.9	60
JRIU01000360.1	1	466	240	466	100	68.9292	38.9	60
JRIU01000359.1	1	1539	1295	1539	100	115.049	38.9	58.8
JRIU01000358.1	1	473	198	473	100	54.4503	38.8	60
JRIU01000357.1	1	607	558	607	100	102.306	38.9	46.7
JRIU01000356.1	1	344	2742	344	100	890.561	39	59.9
JRIU01000355.1	1	367	3824	367	100	1166.53	38.8	60
JRIU01000354.1	1	330	299	330	100	108.085	39	38.6
JRIU01000353.1	1	222	2228	222	100	1094.43	38.9	58.1
JRIU01000352.1	1	244	1546	244	100	644.361	39	59.9
JRIU01000351.1	1	781	340	781	100	60.6184	38.9	56.6
JRIU01000350.1	1	730	460	730	100	80.4863	38.6	60
JRIU01000349.1	1	309	125	309	100	50.4337	38.6	59.4
JRIU01000348.1	1	216	1385	216	100	628.019	39.1	59.9
JRIU01000347.1	1	210	84	210	100	47.2143	39.3	60
JRIU01000346.1	1	394	227	394	100	73.0076	38.8	59.4
JRIU01000345.1	1	344	155	344	100	60.3547	38.8	60
JRIU01000344.1	1	210	2241	210	100	1044.53	38.8	60
JRIU01000343.1	1	220	179	220	100	83.3682	38.9	60
JRIU01000342.1	1	303	164	303	100	66.7426	39.1	57.7
JRIU01000341.1	1	236	121	236	100	63.6483	39.1	57.4
JRIU01000340.1	1	278	294	278	100	116.572	38.7	56.9
JRIU01000339.1	1	387	1422	387	100	420.651	38.8	59.9
JRIU01000338.1	1	479	4030	479	100	1059.06	38.9	58.9
JRIU01000337.1	1	282	1035	282	100	283.433	38.8	55.5
JRIU01000336.1	1	216	200	216	100	96.4074	39	58.1
JRIU01000335.1	1	584	266	584	100	61.286	39	60
JRIU01000334.1	1	433	322	433	100	86.5312	39	59.5
JRIU01000333.1	1	785	3065	785	100	495.887	38.9	59.9
JRIU01000332.1	1	386	2013	386	100	591.254	38.9	59.9
JRIU01000331.1	1	901	548	901	100	76.0067	38.9	54.1
JRIU01000330.1	1	256	297	256	100	100.367	38.6	56.6
JRIU01000329.1	1	241	209	241	100	90.0913	38.9	58.4
JRIU01000328.1	1	217	183	217	100	79.1336	39.1	59.9
JRIU01000327.1	1	969	365	958	98.8648	47.9143	38.8	30.6
JRIU01000326.1	1	1240	607	1240	100	63.8532	38.9	57.8
JRIU01000325.1	1	1039	729	1039	100	88.6092	38.9	59.5
JRIU01000324.1	1	4966	2847	4966	100	77.767	38.9	55.3
JRIU01000323.1	1	1059	481	1059	100	62.7564	39	56.9
JRIU01000322.1	1	3431	1596	3431	100	66.7718	38.9	59.8
JRIU01000321.1	1	2960	4273	2960	100	201.063	38.9	56.5
JRIU01000320.1	1	19759	7101	19758	99.9949	51.6239	38.9	34.5
JRIU01000319.1	1	15446	6122	15445	99.9935	56.7439	38.9	30.4
JRIU01000318.1	1	2936	3005	2936	100	135.015	38.9	26.4
JRIU01000317.1	1	1483	3188	1362	91.8409	231.672	38.9	47.7
JRIU01000316.1	1	1799	877	1799	100	65.667	38.7	59.9
JRIU01000315.1	1	1982	2908	1982	100	200.34	38.8	51.2
JRIU01000314.1	1	414	988	414	100	241.2	38.8	35
JRIU01000313.1	1	2343	5720	2343	100	225.337	38.7	59
JRIU01000312.1	1	1697	330	909	53.5651	27.1414	39.1	48.6
JRIU01000311.1	1	2300	413	2298	99.913	25.55	38.8	17.6
JRIU01000310.1	1	386	256	386	100	88.2979	38.7	59.7
JRIU01000309.1	1	4416	2057	4416	100	65.9187	38.9	59.7
JRIU01000308.1	1	318	244	318	100	81.8742	38.9	60
JRIU01000307.1	1	368	353	368	100	110.734	38.8	59.9
JRIU01000306.1	1	2554	1208	2554	100	63.6817	38.8	59.8
JRIU01000305.1	1	311	176	311	100	72.2572	38.7	59.6
JRIU01000304.1	1	265	205	265	100	88.4717	38.8	56.7
JRIU01000303.1	1	667	463	667	100	90.2204	38.9	60
JRIU01000302.1	1	2264	1128	2264	100	67.6082	38.9	57.2
JRIU01000301.1	1	557	542	557	100	120.562	38.9	58.1
JRIU01000300.1	1	272	130	272	100	60.8051	38.9	59.7
JRIU01000299.1	1	260	105	260	100	52.6	38.9	59.1
JRIU01000298.1	1	896	597	896	100	78.3248	38.9	53.3
JRIU01000297.1	1	3237	2301	3237	100	101.057	38.9	59.7
JRIU01000296.1	1	312	292	312	100	108.91	38.9	59.1
JRIU01000295.1	1	1382	715	1382	100	71.6679	38.8	59.7
JRIU01000294.1	1	338	148	338	100	58.2189	39.1	59.6
JRIU01000293.1	1	449	197	449	100	60.029	38.8	59.3
JRIU01000292.1	1	2913	1572	2913	100	75.8232	38.7	59.8
JRIU01000291.1	1	214	191	214	100	82.0514	38.9	59.4
JRIU01000290.1	1	225	155	225	100	72.6889	39	59.6
JRIU01000289.1	1	219	124	219	100	62.0639	38.7	58.9
JRIU01000288.1	1	2257	1078	2257	100	66.8786	38.9	58.9
JRIU01000287.1	1	331	142	331	100	54.855	38.8	59.1
JRIU01000286.1	1	1314	639	1314	100	67.3425	38.7	58.6
JRIU01000285.1	1	278	143	278	100	55.1871	39	57.6
JRIU01000284.1	1	5502	2539	5502	100	66.7439	38.9	59.9
JRIU01000283.1	1	981	1956	981	100	198.042	38.9	49
JRIU01000282.1	1	251	240	251	100	97.5418	39.1	59.9
JRIU01000281.1	1	302	1198	302	100	425.748	38.9	59.9
JRIU01000280.1	1	226	333	226	100	165.004	39	36.3
JRIU01000279.1	1	229	182	229	100	70.262	38.5	50
JRIU01000278.1	1	387	201	387	100	66.7468	38.9	58.8
JRIU01000277.1	1	212	1507	212	100	663.91	39.1	59.6
JRIU01000276.1	1	300	322	300	100	94.5433	38.9	50.7
JRIU01000275.1	1	210	422	210	100	224.319	38.9	50.7
JRIU01000274.1	1	247	1724	247	100	589.247	38.9	59.7
JRIU01000273.1	1	252	248	252	100	109.123	38.7	58.8
JRIU01000272.1	1	6186	3235	6186	100	74.8571	38.9	59.4
JRIU01000271.1	1	342	200	342	100	72.1725	38.7	57.8
JRIU01000270.1	1	251	237	251	100	98.2311	38.8	59.9
JRIU01000269.1	1	262	317	262	100	107.901	38.8	49.2
