#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	72968	252045	99.9302	42.6046	39.3	48.3
CM007965.1	1	844051	221471	842407	99.8052	38.8091	39.3	54.6
CM007966.1	1	341087	94595	340649	99.8716	41.0063	39.3	51.8
CM007967.1	1	1575129	416521	1574628	99.9682	39.1345	39.3	52.3
CM007968.1	1	572496	157907	570932	99.7268	40.7969	39.3	55.1
CM007969.1	1	277781	76210	276939	99.6969	40.5715	39.3	53.7
CM007970.1	1	1092105	286982	1091490	99.9437	38.8996	39.3	56.3
CM007971.1	1	564939	150353	564728	99.9627	39.3726	39.3	55.3
CM007972.1	1	430780	115796	430528	99.9415	39.7422	39.3	57.3
CM007973.1	1	762303	208035	761991	99.9591	40.4075	39.3	54.4
CM007974.1	1	683383	174804	682789	99.9131	37.8681	39.3	58.3
CM007975.1	1	1084257	305729	1082536	99.8413	41.72	39.3	50.7
LYZE01000019.1	1	3688	4349	3122	84.6529	171.201	39.1	0.0251
LYZE01000020.1	1	19305	405222	18846	97.6224	3082.12	39.2	9.62
LYZE01000021.1	1	11673	166963	11285	96.6761	2106.57	39.2	0.0097
CM007976.1	1	929095	247566	929029	99.9929	39.4565	39.3	56.7
CM007977.1	1	793416	206597	793059	99.955	38.5449	39.3	54.6
CM007978.1	1	1108329	291116	1107786	99.951	38.8923	39.3	55.5
CM007979.1	1	986200	269406	985867	99.9662	40.4166	39.3	51.2
CM007980.1	1	6300	2	300	4.7619	0.047619	36.4	60
CM007981.1	1	94871	56370	94300	99.3981	87.3918	39.3	54.7
