#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM007964.1	1	252221	70779	252127	99.9627	41.28	39.2	51.3
CM007965.1	1	844051	224253	843516	99.9366	39.3038	39.2	55.5
CM007966.1	1	341087	96288	340659	99.8745	41.7151	39.2	52.1
CM007967.1	1	1575129	421798	1574657	99.97	39.6151	39.3	54.1
CM007968.1	1	572496	160171	570955	99.7308	41.3842	39.2	56.2
CM007969.1	1	277781	75121	277105	99.7566	39.987	39.2	54.7
CM007970.1	1	1092105	294570	1091600	99.9538	39.9265	39.3	56.6
CM007971.1	1	564939	155995	564758	99.968	40.8362	39.2	54.7
CM007972.1	1	430780	119108	430603	99.9589	40.8667	39.3	57.3
CM007973.1	1	762303	210061	762005	99.9609	40.7696	39.2	54.2
CM007974.1	1	683383	184223	682902	99.9296	39.9134	39.3	58.3
CM007975.1	1	1084257	302263	1082602	99.8474	41.2485	39.2	52.9
LYZE01000019.1	1	3688	4157	2821	76.4913	163.902	39.1	0
LYZE01000020.1	1	19305	443824	18751	97.1303	3368.26	39.1	9.52
LYZE01000021.1	1	11673	182772	11368	97.3871	2302.98	39.1	0.00996
CM007976.1	1	929095	255010	929041	99.9942	40.626	39.3	56.6
CM007977.1	1	793416	214009	793021	99.9502	39.9312	39.2	55.1
CM007978.1	1	1108329	299685	1107882	99.9597	40.0217	39.2	56.6
CM007979.1	1	986200	267321	985692	99.9485	40.1005	39.2	53.8
CM007980.1	1	6300	19011	6300	100	435.688	39.2	58
CM007981.1	1	94871	90332	94398	99.5014	140.016	39.2	54.2
