satellite_gene,distance,direction,near_erg_gene,related_sterol,adaptation_type,treatment,concentration
W3030H00610,8149,upstream,ERG11,Ergosterol,Temperature,CAS,9.75
W3030H00610,8149,upstream,ERG11,Lanosterol,Temperature,CAS,2.5
W3030G02910,15949,upstream,ERG25,Stigmasta-5_22-dien-3-ol_acetate,Temperature,CAS,28.0
W3030G02910,15949,upstream,ERG25,Ergosterol,Temperature,CAS,9.75
W3030G02200,26130,upstream,ERG4,Ergosterol,Temperature,CAS,9.75
W3030G02200,26130,upstream,ERG4,Ergosta-7-en-3-ol,Temperature,CAS,3.0
W3030G03230,40586,downstream,ERG25,Stigmasta-5_22-dien-3-ol_acetate,Temperature,CAS,28.0
W3030L01080,47606,upstream,ERG3,Ergost-7-en-3beta-ol,Temperature,CAS,2.5
W3030L01080,47606,upstream,ERG3,Ergosta-7-en-3-ol,Temperature,CAS,3.0
W3030H01660,47676,downstream,ERG7,Tetrahymanol,Low Oxygen,STC,0.65
