Sample	Treatment	Scaffold	Position	Ref	Alt	Quality	Variant_Type	Effect	Impact	Gene_ID	Nearest_Gene	Nearest_Gene_SC_ID	Nearest_Gene_ERG	Distance	Position_Relative
CAS-55-1	CAS	w303_scaffold_17	118161	C	T	225.417	SNV	missense_variant	MODERATE	W3030Q00680	W3030Q00650	YNL280C	ERG24	7196	downstream
CAS-55-2	CAS	w303_scaffold_8	237175	GAA	G	89.0338	DELETION	upstream_gene_variant	MODIFIER	W3030H01340	W3030H01430	YHR072W	ERG7	9952	upstream
CAS-55-2	CAS	w303_scaffold_17	118161	C	T	225.417	SNV	missense_variant	MODERATE	W3030Q00680	W3030Q00650	YNL280C	ERG24	7196	downstream
CAS-55-3	CAS	w303_scaffold_8	107027	CT	C	59.3398	DELETION	upstream_gene_variant	MODIFIER	W3030H00590	W3030H00650	YHR007C	ERG11	8682	upstream
CAS-55-3	CAS	w303_scaffold_17	118161	C	T	225.417	SNV	missense_variant	MODERATE	W3030Q00680	W3030Q00650	YNL280C	ERG24	7196	downstream
STC-55-2	STC	w303_scaffold_7	855989	C	CA	43.8855	INSERTION	upstream_gene_variant	MODIFIER	W3030G04110	W3030G04090	YGR175C	ERG1	8003	downstream
STC-55-2	STC	w303_scaffold_8	107027	CT	C	28.1995	DELETION	upstream_gene_variant	MODIFIER	W3030H00590	W3030H00650	YHR007C	ERG11	8682	upstream
STC-55-3	STC	w303_scaffold_7	855989	C	CA	82.0872	INSERTION	upstream_gene_variant	MODIFIER	W3030G04110	W3030G04090	YGR175C	ERG1	8003	downstream
WT-37-55-1	WT-37	w303_scaffold_7	855989	C	CA	66.2102	INSERTION	upstream_gene_variant	MODIFIER	W3030G04110	W3030G04090	YGR175C	ERG1	8003	downstream
WT-37-55-1	WT-37	w303_scaffold_17	119029	G	T	225.417	SNV	missense_variant	MODERATE	W3030Q00680	W3030Q00650	YNL280C	ERG24	8064	downstream
WT-37-55-2	WT-37	w303_scaffold_7	855989	C	CA	74.2866	INSERTION	upstream_gene_variant	MODIFIER	W3030G04110	W3030G04090	YGR175C	ERG1	8003	downstream
WT-37-55-2	WT-37	w303_scaffold_17	119029	G	T	225.417	SNV	missense_variant	MODERATE	W3030Q00680	W3030Q00650	YNL280C	ERG24	8064	downstream
WT-37-55-3	WT-37	w303_scaffold_7	855989	C	CA	51.0948	INSERTION	upstream_gene_variant	MODIFIER	W3030G04110	W3030G04090	YGR175C	ERG1	8003	downstream
WT-37-55-3	WT-37	w303_scaffold_8	237175	GAA	G	78.7317	DELETION	upstream_gene_variant	MODIFIER	W3030H01340	W3030H01430	YHR072W	ERG7	9952	upstream
WT-37-55-3	WT-37	w303_scaffold_17	119029	G	T	228.354	SNV	missense_variant	MODERATE	W3030Q00680	W3030Q00650	YNL280C	ERG24	8064	downstream
WTA-55-1	WTA	w303_scaffold_7	855989	C	CAA	45.2633	INSERTION	upstream_gene_variant	MODIFIER	W3030G04110	W3030G04090	YGR175C	ERG1	8003	downstream
WTA-55-3	WTA	w303_scaffold_7	855989	C	CA	33.8226	INSERTION	upstream_gene_variant	MODIFIER	W3030G04110	W3030G04090	YGR175C	ERG1	8003	downstream
