Type	ID	Comparison	ActualCount	ExpectedCount	EnrichmentFactor	PValue	Significant
Treatment	CAS	All	336	323.24	1.04	4.5685e-01	False
Treatment	CAS-CTRL	All	116	106.26	1.09	3.1833e-01	False
Treatment	STC	All	336	328.58	1.02	6.7023e-01	False
Treatment	STC-CTRL	All	112	119.49	0.94	5.0996e-01	False
Treatment	WT-37	All	344	357.92	0.96	4.6282e-01	False
Treatment	WT	All	104	104.93	0.99	1.0000e+00	False
Treatment	WTA	All	328	335.58	0.98	6.9416e-01	False
Gene	W3030EI00110(YHR007C)	CAS	6	11.57	0.52	9.7347e-01	False
Gene	W3030EI00110(YHR007C)	CAS-CTRL	2	3.80	0.53	8.9298e-01	False
Gene	W3030EI00110(YHR007C)	STC	6	11.76	0.51	9.7642e-01	False
Gene	W3030EI00110(YHR007C)	STC-CTRL	2	4.28	0.47	9.2678e-01	False
Gene	W3030EI00110(YHR007C)	WT-37	6	12.81	0.47	9.8788e-01	False
Gene	W3030EI00110(YHR007C)	WT	2	3.76	0.53	8.8886e-01	False
Gene	W3030EI00110(YHR007C)	WTA	6	12.01	0.50	9.7983e-01	False
Gene	W3030BY00190(YHR190W)	CAS	54	104.15	0.52	1.0000e+00	False
Gene	W3030BY00190(YHR190W)	CAS-CTRL	18	34.24	0.53	9.9912e-01	False
Gene	W3030BY00190(YHR190W)	STC	54	105.87	0.51	1.0000e+00	False
Gene	W3030BY00190(YHR190W)	STC-CTRL	18	38.50	0.47	9.9992e-01	False
Gene	W3030BY00190(YHR190W)	WT-37	54	115.32	0.47	1.0000e+00	False
Gene	W3030BY00190(YHR190W)	WT	18	33.81	0.53	9.9890e-01	False
Gene	W3030BY00190(YHR190W)	WTA	54	108.12	0.50	1.0000e+00	False
Gene	W3030AJ00440(YGR175C)	CAS	54	102.60	0.53	1.0000e+00	False
Gene	W3030AJ00440(YGR175C)	CAS-CTRL	18	33.73	0.53	9.9885e-01	False
Gene	W3030AJ00440(YGR175C)	STC	52	104.30	0.50	1.0000e+00	False
Gene	W3030AJ00440(YGR175C)	STC-CTRL	18	37.93	0.47	9.9988e-01	False
Gene	W3030AJ00440(YGR175C)	WT-37	52	113.61	0.46	1.0000e+00	False
Gene	W3030AJ00440(YGR175C)	WT	18	33.31	0.54	9.9857e-01	False
Gene	W3030AJ00440(YGR175C)	WTA	54	106.52	0.51	1.0000e+00	False
Gene	W3030W00270(YGR060W)	CAS	12	22.37	0.54	9.9376e-01	False
Gene	W3030W00270(YGR060W)	CAS-CTRL	6	7.35	0.82	7.4230e-01	False
Gene	W3030W00270(YGR060W)	STC	12	22.74	0.53	9.9490e-01	False
Gene	W3030W00270(YGR060W)	STC-CTRL	4	8.27	0.48	9.6474e-01	False
Gene	W3030W00270(YGR060W)	WT-37	10	24.77	0.40	9.9974e-01	False
Gene	W3030W00270(YGR060W)	WT	2	7.26	0.28	9.9421e-01	False
Gene	W3030W00270(YGR060W)	WTA	12	23.23	0.52	9.9610e-01	False
Gene	W3030S00270(YML008C)	CAS	32	65.57	0.49	1.0000e+00	False
Gene	W3030S00270(YML008C)	CAS-CTRL	14	21.56	0.65	9.6607e-01	False
Gene	W3030S00270(YML008C)	STC	30	66.66	0.45	1.0000e+00	False
Gene	W3030S00270(YML008C)	STC-CTRL	12	24.24	0.50	9.9780e-01	False
Gene	W3030S00270(YML008C)	WT-37	38	72.61	0.52	1.0000e+00	False
Gene	W3030S00270(YML008C)	WT	12	21.29	0.56	9.8888e-01	False
Gene	W3030S00270(YML008C)	WTA	32	68.08	0.47	1.0000e+00	False
Gene	W3030S00490(YMR015C)	CAS	32	65.57	0.49	1.0000e+00	False
Gene	W3030S00490(YMR015C)	CAS-CTRL	14	21.56	0.65	9.6607e-01	False
Gene	W3030S00490(YMR015C)	STC	30	66.66	0.45	1.0000e+00	False
Gene	W3030S00490(YMR015C)	STC-CTRL	12	24.24	0.50	9.9780e-01	False
Gene	W3030S00490(YMR015C)	WT-37	38	72.61	0.52	1.0000e+00	False
Gene	W3030S00490(YMR015C)	WT	12	21.29	0.56	9.8888e-01	False
Gene	W3030S00490(YMR015C)	WTA	32	68.08	0.47	1.0000e+00	False
Gene	W3030O00140(YNL280C)	CAS	144	267.69	0.54	1.0000e+00	False
Gene	W3030O00140(YNL280C)	CAS-CTRL	46	88.00	0.52	1.0000e+00	False
Gene	W3030O00140(YNL280C)	STC	138	272.11	0.51	1.0000e+00	False
Gene	W3030O00140(YNL280C)	STC-CTRL	46	98.96	0.46	1.0000e+00	False
Gene	W3030O00140(YNL280C)	WT-37	144	296.42	0.49	1.0000e+00	False
Gene	W3030O00140(YNL280C)	WT	42	86.90	0.48	1.0000e+00	False
Gene	W3030O00140(YNL280C)	WTA	134	277.91	0.48	1.0000e+00	False
Gene	W3030X00260(YHR190W)	CAS	10	21.60	0.46	9.9808e-01	False
Gene	W3030X00260(YHR190W)	CAS-CTRL	4	7.10	0.56	9.2336e-01	False
Gene	W3030X00260(YHR190W)	STC	12	21.96	0.55	9.9219e-01	False
Gene	W3030X00260(YHR190W)	STC-CTRL	4	7.99	0.50	9.5719e-01	False
Gene	W3030X00260(YHR190W)	WT-37	10	23.92	0.42	9.9955e-01	False
Gene	W3030X00260(YHR190W)	WT	4	7.01	0.57	9.1886e-01	False
Gene	W3030X00260(YHR190W)	WTA	12	22.43	0.54	9.9393e-01	False
Gene	W3030E01010(YLR056W)	CAS	24	47.83	0.50	9.9995e-01	False
Gene	W3030E01010(YLR056W)	CAS-CTRL	8	15.72	0.51	9.8821e-01	False
Gene	W3030E01010(YLR056W)	STC	30	48.62	0.62	9.9833e-01	False
Gene	W3030E01010(YLR056W)	STC-CTRL	8	17.68	0.45	9.9646e-01	False
Gene	W3030E01010(YLR056W)	WT-37	24	52.96	0.45	1.0000e+00	False
Gene	W3030E01010(YLR056W)	WT	6	15.53	0.39	9.9807e-01	False
Gene	W3030E01010(YLR056W)	WTA	24	49.66	0.48	9.9998e-01	False
Gene	W3030AD00260(YMR202W)	STC	2	3.14	0.64	8.2037e-01	False
Gene	W3030AD00260(YMR202W)	WT-37	6	3.42	1.76	1.3160e-01	False
