GeneID	SCGeneID	GeneName	Treatment	VariantCount	SynonymousCount	MissenseCount	NonsenseCount	OtherCount
W3030AD00260	YMR202W		CAS	0	0	0	0	0
W3030AD00260	YMR202W		STC	0	0	0	0	0
W3030AD00260	YMR202W		WT	0	0	0	0	0
W3030AD00260	YMR202W		WT-37	0	0	0	0	0
W3030AD00260	YMR202W		WTA	0	0	0	0	0
W3030AJ00440	YGR175C		CAS	0	0	0	0	0
W3030AJ00440	YGR175C		STC	0	0	0	0	0
W3030AJ00440	YGR175C		WT	0	0	0	0	0
W3030AJ00440	YGR175C		WT-37	0	0	0	0	0
W3030AJ00440	YGR175C		WTA	0	0	0	0	0
W3030BY00190	YHR190W		CAS	0	0	0	0	0
W3030BY00190	YHR190W		STC	0	0	0	0	0
W3030BY00190	YHR190W		WT	0	0	0	0	0
W3030BY00190	YHR190W		WT-37	0	0	0	0	0
W3030BY00190	YHR190W		WTA	0	0	0	0	0
W3030CB00150	YHR072W		CAS	0	0	0	0	0
W3030CB00150	YHR072W		STC	0	0	0	0	0
W3030CB00150	YHR072W		WT	0	0	0	0	0
W3030CB00150	YHR072W		WT-37	0	0	0	0	0
W3030CB00150	YHR072W		WTA	0	0	0	0	0
W3030CB00160	YHR072W		CAS	0	0	0	0	0
W3030CB00160	YHR072W		STC	0	0	0	0	0
W3030CB00160	YHR072W		WT	0	0	0	0	0
W3030CB00160	YHR072W		WT-37	0	0	0	0	0
W3030CB00160	YHR072W		WTA	0	0	0	0	0
W3030E01010	YLR056W		CAS	0	0	0	0	0
W3030E01010	YLR056W		STC	0	0	0	0	0
W3030E01010	YLR056W		WT	0	0	0	0	0
W3030E01010	YLR056W		WT-37	0	0	0	0	0
W3030E01010	YLR056W		WTA	0	0	0	0	0
W3030EI00110	YHR007C		CAS	0	0	0	0	0
W3030EI00110	YHR007C		STC	0	0	0	0	0
W3030EI00110	YHR007C		WT	0	0	0	0	0
W3030EI00110	YHR007C		WT-37	0	0	0	0	0
W3030EI00110	YHR007C		WTA	0	0	0	0	0
W3030O00140	YNL280C		CAS	0	0	0	0	0
W3030O00140	YNL280C		STC	0	0	0	0	0
W3030O00140	YNL280C		WT	0	0	0	0	0
W3030O00140	YNL280C		WT-37	0	0	0	0	0
W3030O00140	YNL280C		WTA	0	0	0	0	0
W3030S00270	YML008C		CAS	0	0	0	0	0
W3030S00270	YML008C		STC	0	0	0	0	0
W3030S00270	YML008C		WT	0	0	0	0	0
W3030S00270	YML008C		WT-37	0	0	0	0	0
W3030S00270	YML008C		WTA	0	0	0	0	0
W3030S00490	YMR015C		CAS	0	0	0	0	0
W3030S00490	YMR015C		STC	0	0	0	0	0
W3030S00490	YMR015C		WT	0	0	0	0	0
W3030S00490	YMR015C		WT-37	0	0	0	0	0
W3030S00490	YMR015C		WTA	0	0	0	0	0
W3030W00270	YGR060W		CAS	0	0	0	0	0
W3030W00270	YGR060W		STC	0	0	0	0	0
W3030W00270	YGR060W		WT	0	0	0	0	0
W3030W00270	YGR060W		WT-37	0	0	0	0	0
W3030W00270	YGR060W		WTA	0	0	0	0	0
W3030X00260	YHR190W		CAS	0	0	0	0	0
W3030X00260	YHR190W		STC	0	0	0	0	0
W3030X00260	YHR190W		WT	0	0	0	0	0
W3030X00260	YHR190W		WT-37	0	0	0	0	0
W3030X00260	YHR190W		WTA	0	0	0	0	0
W3030Y00390	YGL012W		CAS	0	0	0	0	0
W3030Y00390	YGL012W		STC	0	0	0	0	0
W3030Y00390	YGL012W		WT	0	0	0	0	0
W3030Y00390	YGL012W		WT-37	0	0	0	0	0
W3030Y00390	YGL012W		WTA	0	0	0	0	0
