SC_Gene_ID	ERG_Name	W303_Gene_ID	Scaffold	Start_Mapping	End_Mapping	Strand_Mapping	Start_GenBank	End_GenBank	Strand_GenBank	Found_in_GenBank	Coordinate_Match
YGL012W	ERG4	W3030G02340	w303_scaffold_7	469848	471270	+	469848	471270	+	Yes	Yes
YGR060W	ERG25	W3030G02990	w303_scaffold_7	607691	608621	+	607691	608621	+	Yes	Yes
YGR175C	ERG1	W3030G04090	w303_scaffold_7	846495	847986	-	846495	847986	-	Yes	Yes
YHR007C	ERG11	W3030H00650	w303_scaffold_8	115709	117302	-	115709	117302	-	Yes	Yes
YHR072W	ERG7	W3030H01440	w303_scaffold_8	249693	249870	+	249693	249870	+	Yes	Yes
YHR190W	ERG9	W3030H02610	w303_scaffold_8	492912	494247	+	492912	494247	+	Yes	Yes
YLR056W	ERG3	W3030L01320	w303_scaffold_12	269077	270175	+	269077	270175	+	Yes	Yes
YML008C	ERG6	W3030P01300	w303_scaffold_16	252164	253316	-	252164	253316	-	Yes	Yes
YMR015C	ERG5	W3030P01520	w303_scaffold_16	301194	302811	-	301194	302811	-	Yes	Yes
YMR202W	ERG2	W3030P03320	w303_scaffold_16	667847	668516	+	667847	668516	+	Yes	Yes
YNL280C	ERG24	W3030Q00650	w303_scaffold_17	109648	110965	-	109648	110965	-	Yes	Yes
