satellite_gene_id	satellite_gene_name	erg_gene_id	erg_gene_name	scaffold	distance	distance_kb	relative_position	satellite_start	satellite_end	erg_start	erg_end	satellite_product	zone
			YNL280C	w303_scaffold_17	99744	99.74	upstream	8760	9905	109649	110965	hypothetical protein	satellite
			YNL280C	w303_scaffold_17	97091	97.09	upstream	11881	12558	109649	110965	hypothetical protein	satellite
			YNL280C	w303_scaffold_17	96344	96.34	upstream	12637	13305	109649	110965	hypothetical protein	satellite
			YNL280C	w303_scaffold_17	95055	95.06	upstream	13698	14594	109649	110965	hypothetical protein	satellite
			YNL280C	w303_scaffold_17	93363	93.36	upstream	15264	16286	109649	110965	hypothetical protein	satellite
	YNL331C		YNL280C	w303_scaffold_17	91969	91.97	upstream	16550	17680	109649	110965	hypothetical protein	satellite
	YNL330C		YNL280C	w303_scaffold_17	89915	89.92	upstream	18433	19734	109649	110965	hypothetical protein	satellite
	YNL329C		YNL280C	w303_scaffold_17	86584	86.58	upstream	19973	23065	109649	110965	hypothetical protein	satellite
	YNL328C		YNL280C	w303_scaffold_17	85943	85.94	upstream	23266	23706	109649	110965	hypothetical protein	satellite
	YNL327W		YNL280C	w303_scaffold_17	82044	82.04	upstream	24480	27605	109649	110965	hypothetical protein	satellite
	YNL326C		YNL280C	w303_scaffold_17	80870	80.87	upstream	27769	28779	109649	110965	hypothetical protein	satellite
	YNL325C		YNL280C	w303_scaffold_17	77839	77.84	upstream	29171	31810	109649	110965	hypothetical protein	satellite
	YNL323W		YNL280C	w303_scaffold_17	76029	76.03	upstream	32376	33620	109649	110965	hypothetical protein	satellite
	YNL322C		YNL280C	w303_scaffold_17	74982	74.98	upstream	33726	34667	109649	110965	hypothetical protein	satellite
	YNL321W		YNL280C	w303_scaffold_17	71795	71.8	upstream	35128	37854	109649	110965	hypothetical protein	satellite
	YNL320W		YNL280C	w303_scaffold_17	70663	70.66	upstream	38132	38986	109649	110965	hypothetical protein	satellite
	YNL318C		YNL280C	w303_scaffold_17	68888	68.89	upstream	39139	40761	109649	110965	hypothetical protein	satellite
	YNL317W		YNL280C	w303_scaffold_17	67201	67.2	upstream	41051	42448	109649	110965	hypothetical protein	satellite
	YNL316C		YNL280C	w303_scaffold_17	66040	66.04	upstream	42503	43609	109649	110965	hypothetical protein	satellite
	YNL315C		YNL280C	w303_scaffold_17	64937	64.94	upstream	43756	44712	109649	110965	hypothetical protein	satellite
	YNL314W		YNL280C	w303_scaffold_17	64003	64.0	upstream	44879	45646	109649	110965	hypothetical protein	satellite
	YNL313C		YNL280C	w303_scaffold_17	61195	61.2	upstream	45740	48454	109649	110965	hypothetical protein	satellite
	YNL312W		YNL280C	w303_scaffold_17	60001	60.0	upstream	48719	49648	109649	110965	hypothetical protein	satellite
	YNL311C		YNL280C	w303_scaffold_17	57529	57.53	upstream	49829	52120	109649	110965	hypothetical protein	satellite
	YNL310C		YNL280C	w303_scaffold_17	56693	56.69	upstream	52339	52956	109649	110965	hypothetical protein	satellite
	YNL309W		YNL280C	w303_scaffold_17	55293	55.29	upstream	52977	54356	109649	110965	hypothetical protein	satellite
	YNL308C		YNL280C	w303_scaffold_17	53320	53.32	upstream	54554	56329	109649	110965	hypothetical protein	satellite
	YNL307C		YNL280C	w303_scaffold_17	51644	51.64	upstream	56878	58005	109649	110965	hypothetical protein	satellite
	YNL306W		YNL280C	w303_scaffold_17	50409	50.41	upstream	58587	59240	109649	110965	hypothetical protein	satellite
	YHR155W		YNL280C	w303_scaffold_17	50221	50.22	downstream	161186	164875	109649	110965	hypothetical protein	satellite
	YNL256W		YNL280C	w303_scaffold_17	54093	54.09	downstream	165058	167652	109649	110965	hypothetical protein	satellite
	YNL255C		YNL280C	w303_scaffold_17	56919	56.92	downstream	167884	168345	109649	110965	hypothetical protein	satellite
	YNL254C		YNL280C	w303_scaffold_17	57633	57.63	downstream	168598	169803	109649	110965	hypothetical protein	satellite
	YNL253W		YNL280C	w303_scaffold_17	59608	59.61	downstream	170573	171841	109649	110965	hypothetical protein	satellite
	YNL252C		YNL280C	w303_scaffold_17	61031	61.03	downstream	171996	172841	109649	110965	hypothetical protein	satellite
	YNL251C		YNL280C	w303_scaffold_17	62178	62.18	downstream	173143	174870	109649	110965	hypothetical protein	satellite
	YNL250W		YNL280C	w303_scaffold_17	65000	65.0	downstream	175965	179903	109649	110965	hypothetical protein	satellite
	YNL249C		YNL280C	w303_scaffold_17	68984	68.98	downstream	179949	181577	109649	110965	hypothetical protein	satellite
	YNL248C		YNL280C	w303_scaffold_17	70951	70.95	downstream	181916	183163	109649	110965	hypothetical protein	satellite
	YNL247W		YNL280C	w303_scaffold_17	72465	72.47	downstream	183430	185733	109649	110965	hypothetical protein	satellite
	YNL246W		YNL280C	w303_scaffold_17	75053	75.05	downstream	186018	186904	109649	110965	hypothetical protein	satellite
	YNL245C		YNL280C	w303_scaffold_17	75936	75.94	downstream	186901	187440	109649	110965	hypothetical protein	satellite
	YNL244C		YNL280C	w303_scaffold_17	76760	76.76	downstream	187725	188051	109649	110965	hypothetical protein	satellite
