gene_id	gene_name	product	note	variant_count	nearest_erg_gene	min_distance_to_erg	high_impact_count	moderate_impact_count	severe_impact_count	treatments	sterol_related
W3030H00610	W3030H00610			15	ERG11	8149	15	0	15	STC, CAS, WT-37, WT, WTA	False
W3030G02910	W3030G02910			15	ERG25	15949	0	15	0	WT-37, CAS, STC, WT, WTA	False
W3030G02200	W3030G02200			15	ERG4	26130	0	15	0	STC, WT-37, WTA, CAS, WT	False
W3030G03230	W3030G03230			15	ERG25	40586	0	15	0	WT-37, STC, CAS, WTA, WT	False
W3030L01080	W3030L01080			15	ERG3	47606	0	15	15	STC, WT-37, CAS, WTA, WT	False
W3030H01660	W3030H01660			15	ERG7	47676	15	0	15	WTA, WT, STC, CAS, WT-37	False
W3030Q00680	W3030Q00680			6	ERG24	7196	0	6	0	CAS, WT-37	False
W3030H00410	W3030H00410			4	ERG11	40943	4	0	0	WT-37, WTA, STC	False
W3030P01730	W3030P01730			3	ERG5	40870	0	3	0	WT-37	False
W3030L01480	W3030L01480			1	ERG3	26116	0	1	0	WT-37	False
W3030G04250	W3030G04250			1	ERG1	39592	0	1	0	STC	False
W3030P01740	W3030P01740			1	ERG5	42631	0	1	0	CAS	False
