#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000371.1	1	283	617	283	100	236.099	39.2	54.6
JRIU01000370.1	1	1261	696	1261	100	77.1586	39.1	57.9
JRIU01000369.1	1	339	2207	339	100	746.705	39.3	58.9
JRIU01000368.1	1	300	126	300	100	53.38	38.9	55.5
JRIU01000367.1	1	203	123	203	100	68.3892	39.2	55.6
JRIU01000366.1	1	243	209	243	100	90.642	39.2	60
JRIU01000365.1	1	1642	1604	1642	100	135.886	39	60
JRIU01000364.1	1	1260	735	1260	100	78.3183	39.1	57.9
JRIU01000363.1	1	639	283	639	100	61.493	39	60
JRIU01000362.1	1	346	235	346	100	81.396	39.1	58.2
JRIU01000361.1	1	329	196	329	100	77.9666	39.1	60
JRIU01000360.1	1	466	242	466	100	71.4957	39.1	60
JRIU01000359.1	1	1539	1235	1539	100	111.246	39.2	59.2
JRIU01000358.1	1	473	269	473	100	75.6702	39.1	60
JRIU01000357.1	1	607	653	607	100	119.137	39.1	46.2
JRIU01000356.1	1	344	3468	344	100	1126.41	39.2	59.9
JRIU01000355.1	1	367	4434	367	100	1356.28	39.1	60
JRIU01000354.1	1	330	278	330	100	104.639	39	41.7
JRIU01000353.1	1	222	2457	222	100	1224.53	39.2	57.7
JRIU01000352.1	1	244	1809	244	100	747.152	39.3	59.8
JRIU01000351.1	1	781	429	781	100	78.977	39.1	57.4
JRIU01000350.1	1	730	498	730	100	86.4027	39	60
JRIU01000349.1	1	309	191	309	100	77.2265	39	59.7
JRIU01000348.1	1	216	1363	216	100	606.815	39.4	59.9
JRIU01000347.1	1	210	112	210	100	63.181	39	60
JRIU01000346.1	1	394	209	394	100	65.1599	39	59.2
JRIU01000345.1	1	344	159	344	100	61.9215	39	59.9
JRIU01000344.1	1	210	2830	210	100	1304.29	39.1	59.9
JRIU01000343.1	1	220	190	220	100	86.5591	39.2	58.5
JRIU01000342.1	1	303	179	303	100	68.8317	39.2	56.7
JRIU01000341.1	1	236	109	236	100	58	39.1	56.9
JRIU01000340.1	1	278	315	278	100	123.939	39.2	57.1
JRIU01000339.1	1	387	1484	387	100	451.37	39.3	60
JRIU01000338.1	1	479	4287	479	100	1145.7	39.1	58.8
JRIU01000337.1	1	282	1465	282	100	402.28	39.2	55.8
JRIU01000336.1	1	216	206	216	100	103.065	39	58.5
JRIU01000335.1	1	584	270	584	100	63.5753	39.2	60
JRIU01000334.1	1	433	375	433	100	101.49	39.2	59.5
JRIU01000333.1	1	785	3334	785	100	548.743	39.1	59.9
JRIU01000332.1	1	386	2958	386	100	878.096	39.2	59.9
JRIU01000331.1	1	901	564	901	100	80.8824	39.1	54.9
JRIU01000330.1	1	256	318	256	100	107.961	39.1	54.4
JRIU01000329.1	1	241	173	241	100	76.1162	39.2	57.6
JRIU01000328.1	1	217	186	217	100	81.7327	39.4	59.9
JRIU01000327.1	1	969	336	966	99.6904	45.5872	39	31.3
JRIU01000326.1	1	1240	611	1240	100	65.3363	39.1	58.1
JRIU01000325.1	1	1039	795	1039	100	99.1992	39.1	59.7
JRIU01000324.1	1	4966	3131	4966	100	86.1164	39.1	55.3
JRIU01000323.1	1	1059	509	1059	100	66.7762	39.1	56.8
JRIU01000322.1	1	3431	1703	3431	100	71.9099	39.1	59.5
JRIU01000321.1	1	2960	5028	2957	99.8986	239.472	39.1	56.9
JRIU01000320.1	1	19759	8346	19759	100	61.3762	39.1	31.1
JRIU01000319.1	1	15446	7326	15446	100	68.7347	39.1	27.5
JRIU01000318.1	1	2936	3418	2936	100	155.473	39.1	25.9
JRIU01000317.1	1	1483	3526	1362	91.8409	256.416	39.2	47
JRIU01000316.1	1	1799	948	1799	100	71.9944	39	59.9
JRIU01000315.1	1	1982	3519	1982	100	246.468	39	53.3
JRIU01000314.1	1	414	1151	414	100	279.271	39.1	33.8
JRIU01000313.1	1	2343	5474	2343	100	222.558	39	58.9
JRIU01000312.1	1	1697	433	944	55.6276	36.8126	39.3	48.4
JRIU01000311.1	1	2300	477	2297	99.8696	29.9061	39.2	22.6
JRIU01000310.1	1	386	294	386	100	101.775	39.2	59.9
JRIU01000309.1	1	4416	2389	4416	100	78.0301	39.1	59.7
JRIU01000308.1	1	318	250	318	100	83.695	39.1	60
JRIU01000307.1	1	368	312	368	100	96.8424	39.1	60
JRIU01000306.1	1	2554	1218	2554	100	66.2334	39.1	59.7
JRIU01000305.1	1	311	153	311	100	64.2669	38.8	59.7
JRIU01000304.1	1	265	278	265	100	122.328	39	57.2
JRIU01000303.1	1	667	484	667	100	95.5862	39.1	60
JRIU01000302.1	1	2264	1225	2264	100	75.8754	39.2	57.8
JRIU01000301.1	1	557	576	557	100	129.253	39.1	57.9
JRIU01000300.1	1	272	116	272	100	54.3162	39.1	58
JRIU01000299.1	1	260	124	260	100	61.8692	39.2	58.7
JRIU01000298.1	1	896	639	896	100	82.8683	39.2	53.9
JRIU01000297.1	1	3237	2534	3237	100	114.046	39.1	59.6
JRIU01000296.1	1	312	281	312	100	105.91	39.1	58.7
JRIU01000295.1	1	1382	728	1382	100	74.4595	39.1	59.5
JRIU01000294.1	1	338	168	338	100	65.5858	39	59.5
JRIU01000293.1	1	449	218	449	100	66.3051	39	57.8
JRIU01000292.1	1	2913	1755	2913	100	84.8387	39	59.7
JRIU01000291.1	1	214	186	214	100	88.8084	39.3	60
JRIU01000290.1	1	225	138	225	100	67.5022	39.1	60
JRIU01000289.1	1	219	143	219	100	78.2648	38.8	59.2
JRIU01000288.1	1	2257	1220	2257	100	76.3979	39.1	58.5
JRIU01000287.1	1	331	151	331	100	59.2115	39	59.4
JRIU01000286.1	1	1314	677	1314	100	72.4087	39.1	58.5
JRIU01000285.1	1	278	170	278	100	65.7194	39.2	57.4
JRIU01000284.1	1	5502	2809	5502	100	74.6758	39.2	59.7
JRIU01000283.1	1	981	2261	981	100	232.86	39.1	48.5
JRIU01000282.1	1	251	232	251	100	88.1594	39.2	59.8
