#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000371.1	1	283	624	283	100	247.424	39.4	54.3
JRIU01000370.1	1	1261	784	1261	100	86.8366	39.2	57.9
JRIU01000369.1	1	339	2722	339	100	918.198	39.3	59
JRIU01000368.1	1	300	198	300	100	86.4333	39.2	55.9
JRIU01000367.1	1	203	138	203	100	79.7143	39.3	57.9
JRIU01000366.1	1	243	258	243	100	107.296	39.4	59.8
JRIU01000365.1	1	1642	1952	1642	100	165.414	39.2	60
JRIU01000364.1	1	1260	687	1260	100	72.0794	39.3	57.8
JRIU01000363.1	1	639	349	639	100	76.0485	39.2	60
JRIU01000362.1	1	346	182	346	100	66.1821	39.1	59.1
JRIU01000361.1	1	329	212	329	100	81.8723	39.2	59.9
JRIU01000360.1	1	466	286	466	100	83.4442	39.1	59.9
JRIU01000359.1	1	1539	1555	1539	100	140.758	39.3	59
JRIU01000358.1	1	473	268	473	100	75.5666	39.2	60
JRIU01000357.1	1	607	634	607	100	114.789	39.1	46.5
JRIU01000356.1	1	344	3372	344	100	1092.44	39.3	59.9
JRIU01000355.1	1	367	4712	367	100	1430.32	39.2	60
JRIU01000354.1	1	330	335	330	100	120.73	39.3	39.6
JRIU01000353.1	1	222	3175	222	100	1562.87	39.3	57.5
JRIU01000352.1	1	244	1525	244	100	626.971	39.4	59.9
JRIU01000351.1	1	781	423	781	100	77.2714	39.2	57.8
JRIU01000350.1	1	730	482	730	100	84.7205	39.2	60
JRIU01000349.1	1	309	209	309	100	87.6926	39.3	59.9
JRIU01000348.1	1	216	1529	216	100	675.468	39.4	59.9
JRIU01000347.1	1	210	138	210	100	76.9333	39.4	59.9
JRIU01000346.1	1	394	224	394	100	70.165	39.3	58.4
JRIU01000345.1	1	344	185	344	100	70.8547	39.3	59.9
JRIU01000344.1	1	210	2880	210	100	1336.78	39.1	60
JRIU01000343.1	1	220	232	220	100	100.641	39.2	57.2
JRIU01000342.1	1	303	222	303	100	89.4851	39.2	57.7
JRIU01000341.1	1	236	117	236	100	65.0297	38.9	55.4
JRIU01000340.1	1	278	397	278	100	148.734	39.2	53.3
JRIU01000339.1	1	387	1679	387	100	503.532	39.3	59.9
JRIU01000338.1	1	479	5163	479	100	1364.93	39.2	58.6
JRIU01000337.1	1	282	1288	282	100	354.039	39.3	55.7
JRIU01000336.1	1	216	268	216	100	130.292	39.1	57.8
JRIU01000335.1	1	584	339	584	100	79.613	39.2	60
JRIU01000334.1	1	433	429	433	100	119.656	39.4	59.7
JRIU01000333.1	1	785	3860	785	100	636.199	39.3	60
JRIU01000332.1	1	386	2666	386	100	797.179	39.3	59.9
JRIU01000331.1	1	901	658	901	100	91.9345	39.2	53.2
JRIU01000330.1	1	256	343	256	100	111.699	39.2	56.4
JRIU01000329.1	1	241	231	241	100	97.834	39.4	58.2
JRIU01000328.1	1	217	219	217	100	99.8618	39.3	59.9
JRIU01000327.1	1	969	373	953	98.3488	50.709	39.2	27.9
JRIU01000326.1	1	1240	671	1240	100	71.2056	39.3	56.8
JRIU01000325.1	1	1039	932	1039	100	114.268	39.3	59.8
JRIU01000324.1	1	4966	3381	4966	100	93.4509	39.2	55.3
JRIU01000323.1	1	1059	663	1059	100	89.8064	39.3	57
JRIU01000322.1	1	3431	1757	3431	100	74.3742	39.3	59.7
JRIU01000321.1	1	2960	2088	2960	100	98.8831	39.2	57.3
JRIU01000320.1	1	19759	8327	19758	99.9949	61.4567	39.3	34.1
JRIU01000319.1	1	15446	7306	15446	100	69.0359	39.3	30.8
JRIU01000318.1	1	2936	3500	2936	100	161.081	39.2	25
JRIU01000317.1	1	1483	4141	1362	91.8409	302.449	39.3	47.6
JRIU01000316.1	1	1799	942	1799	100	71.3241	39.1	60
JRIU01000315.1	1	1982	1412	1982	100	98.391	39.2	51.9
JRIU01000314.1	1	414	1283	414	100	307.319	39.2	32.9
JRIU01000313.1	1	2343	7154	2343	100	294.302	39.1	59
JRIU01000312.1	1	1697	194	929	54.7437	15.8739	39.3	46.6
JRIU01000311.1	1	2300	478	2293	99.6957	30.0561	39.1	19.2
JRIU01000310.1	1	386	384	386	100	132.609	39.2	59.7
JRIU01000309.1	1	4416	2428	4416	100	79.8116	39.3	59.8
JRIU01000308.1	1	318	327	318	100	110.478	39.4	60
JRIU01000307.1	1	368	378	368	100	117.663	39.3	59.9
JRIU01000306.1	1	2554	1513	2554	100	81.3931	39.2	59.9
JRIU01000305.1	1	311	183	311	100	77.1318	39.2	59.7
JRIU01000304.1	1	265	282	265	100	121.083	39	57
JRIU01000303.1	1	667	552	667	100	108.865	39.3	60
JRIU01000302.1	1	2264	1294	2264	100	79.2792	39.3	57
JRIU01000301.1	1	557	614	557	100	135.833	39.2	57.4
JRIU01000300.1	1	272	186	272	100	88.3493	39.4	59.4
JRIU01000299.1	1	260	155	260	100	74.6115	39.2	58.1
JRIU01000298.1	1	896	686	896	100	87.8984	39.3	53
JRIU01000297.1	1	3237	2916	3237	100	130.954	39.3	59.6
JRIU01000296.1	1	312	321	312	100	117.16	39.3	58.9
JRIU01000295.1	1	1382	828	1382	100	85.9399	39.3	59.6
JRIU01000294.1	1	338	204	338	100	78.7337	39.2	59.6
JRIU01000293.1	1	449	194	449	100	58.3073	39.4	57.1
JRIU01000292.1	1	2913	1789	2913	100	86.6334	39.2	59.4
JRIU01000291.1	1	214	210	214	100	97.3551	39.4	60
JRIU01000290.1	1	225	128	225	100	61.1289	39.3	59.9
JRIU01000289.1	1	219	133	219	100	72.8539	38.9	59.2
JRIU01000288.1	1	2257	1253	2257	100	78.5268	39.2	58.4
JRIU01000287.1	1	331	172	331	100	68.8278	39.1	59.2
JRIU01000286.1	1	1314	717	1314	100	76.9673	39.3	58.7
JRIU01000285.1	1	278	225	278	100	89.2554	39.5	56.8
