#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JRIU01000371.1	1	283	600	283	100	234.919	39.1	54.5
JRIU01000370.1	1	1261	780	1261	100	86.8921	39.1	57.7
JRIU01000369.1	1	339	2606	339	100	896.425	39.2	59.1
JRIU01000368.1	1	300	197	300	100	86.1633	38.9	58.2
JRIU01000367.1	1	203	108	203	100	60.3645	39	58.2
JRIU01000366.1	1	243	247	243	100	104.226	39.2	59.9
JRIU01000365.1	1	1642	2271	1642	100	193.765	39.1	60
JRIU01000364.1	1	1260	772	1260	100	84.4373	39	58.4
JRIU01000363.1	1	639	312	639	100	67.615	39	60
JRIU01000362.1	1	346	237	346	100	84.8092	39.2	58.9
JRIU01000361.1	1	329	208	329	100	80.4498	39.2	60
JRIU01000360.1	1	466	263	466	100	76.2361	39.1	60
JRIU01000359.1	1	1539	1498	1539	100	133.07	39.1	58.4
JRIU01000358.1	1	473	271	473	100	76.5581	39.1	59.8
JRIU01000357.1	1	607	673	607	100	123.547	39.1	47.8
JRIU01000356.1	1	344	3746	344	100	1234.48	39.2	59.9
JRIU01000355.1	1	367	5005	367	100	1542.63	39.1	60
JRIU01000354.1	1	330	327	330	100	120.421	39.1	40.6
JRIU01000353.1	1	222	2807	222	100	1379.13	39.2	57.9
JRIU01000352.1	1	244	1931	244	100	792.045	39.2	59.8
JRIU01000351.1	1	781	436	781	100	79.6146	39.1	57
JRIU01000350.1	1	730	468	730	100	79.3356	39	60
JRIU01000349.1	1	309	183	309	100	77.5243	39	60
JRIU01000348.1	1	216	1562	216	100	688.741	39.3	59.9
JRIU01000347.1	1	210	123	210	100	69.5286	38.9	59.8
JRIU01000346.1	1	394	218	394	100	68.1015	39	59.9
JRIU01000345.1	1	344	201	344	100	77.7064	39.3	60
JRIU01000344.1	1	210	3066	210	100	1437.7	39	60
JRIU01000343.1	1	220	236	220	100	108.95	39.1	58.6
JRIU01000342.1	1	303	214	303	100	83.0957	39.2	56.3
JRIU01000341.1	1	236	111	236	100	59.7924	39.3	56.7
JRIU01000340.1	1	278	366	278	100	143.403	39	56.3
JRIU01000339.1	1	387	1714	387	100	514.605	39.2	59.9
JRIU01000338.1	1	479	4995	479	100	1331.03	39.1	58.6
JRIU01000337.1	1	282	1527	282	100	428.461	39.2	56
JRIU01000336.1	1	216	215	216	100	106.542	39.1	58.5
JRIU01000335.1	1	584	326	584	100	77.5565	39.2	60
JRIU01000334.1	1	433	395	433	100	106.827	39.2	59.4
JRIU01000333.1	1	785	3793	785	100	625.808	39.1	59.9
JRIU01000332.1	1	386	3004	386	100	910.946	39.2	60
JRIU01000331.1	1	901	643	901	100	90.1842	39.1	52.9
JRIU01000330.1	1	256	379	256	100	117.52	39	53.5
JRIU01000329.1	1	241	214	241	100	91.8299	39.3	57.4
JRIU01000328.1	1	217	214	217	100	98.8664	39	59.9
JRIU01000327.1	1	969	453	965	99.5872	61.9226	39	30.1
JRIU01000326.1	1	1240	717	1240	100	76.5863	39.1	57
JRIU01000325.1	1	1039	948	1039	100	115.509	39.2	59.7
JRIU01000324.1	1	4966	3502	4966	100	97.2235	39	56
JRIU01000323.1	1	1059	688	1059	100	91.7951	39.2	56.5
JRIU01000322.1	1	3431	1955	3431	100	82.2279	39.1	59.6
JRIU01000321.1	1	2960	5621	2960	100	265.168	39	56.2
JRIU01000320.1	1	19759	8722	19759	100	63.9779	39.1	33.3
JRIU01000319.1	1	15446	7750	15446	100	72.7335	39.1	30.1
JRIU01000318.1	1	2936	3844	2936	100	175.295	39	24.7
JRIU01000317.1	1	1483	3928	1362	91.8409	287.754	39.2	47.1
JRIU01000316.1	1	1799	1090	1799	100	83.2713	39	60
JRIU01000315.1	1	1982	3849	1982	100	266.864	38.9	52.6
JRIU01000314.1	1	414	1305	414	100	315.379	39	34.5
JRIU01000313.1	1	2343	7133	2343	100	298.391	38.9	59
JRIU01000312.1	1	1697	756	944	55.6276	62.2522	39.1	51.1
JRIU01000311.1	1	2300	549	2286	99.3913	34.1657	39.1	21.2
JRIU01000310.1	1	386	389	386	100	132.422	39.1	59.8
JRIU01000309.1	1	4416	2428	4416	100	79.0962	39.1	59.8
JRIU01000308.1	1	318	377	318	100	128.255	39.1	60
JRIU01000307.1	1	368	386	368	100	111.712	39	59.8
JRIU01000306.1	1	2554	1448	2554	100	77.6202	39	59.8
JRIU01000305.1	1	311	205	311	100	87.0129	39	59.3
JRIU01000304.1	1	265	269	265	100	114.17	39.1	57
JRIU01000303.1	1	667	554	667	100	107.24	39	59.9
JRIU01000302.1	1	2264	1384	2264	100	84.3074	39.1	57.3
JRIU01000301.1	1	557	581	557	100	132.77	39.1	58.5
JRIU01000300.1	1	272	159	272	100	72.0772	39	58.2
JRIU01000299.1	1	260	146	260	100	71.1923	38.8	57.6
JRIU01000298.1	1	896	675	896	100	90.625	39.1	55.1
JRIU01000297.1	1	3237	2906	3237	100	129.916	39.1	59.5
JRIU01000296.1	1	312	317	312	100	116.08	39.2	58.4
JRIU01000295.1	1	1382	737	1382	100	75.0022	39.1	59.6
JRIU01000294.1	1	338	209	338	100	83.1953	39	59.3
JRIU01000293.1	1	449	245	449	100	73.9577	39	57.9
JRIU01000292.1	1	2913	1937	2913	100	93.5829	39	59.7
JRIU01000291.1	1	214	282	214	100	117.019	38.9	59.9
JRIU01000290.1	1	225	177	225	100	86.1911	39	59.9
JRIU01000289.1	1	219	115	219	100	62.4384	38.9	58.8
JRIU01000288.1	1	2257	1423	2257	100	90.2441	39.1	59.1
JRIU01000287.1	1	331	172	331	100	70.3323	39.1	59.5
JRIU01000286.1	1	1314	809	1314	100	87.3128	39	58.9
JRIU01000285.1	1	278	176	278	100	72.2806	39.4	57.1
JRIU01000284.1	1	5502	2946	5502	100	78.1407	39.1	59.7
JRIU01000283.1	1	981	2476	981	100	257.976	39	47.8
JRIU01000282.1	1	251	280	251	100	113.55	39	59.9
JRIU01000281.1	1	302	1447	302	100	523.225	39.1	59.9
JRIU01000280.1	1	226	408	226	100	194.788	39.1	31.5
JRIU01000279.1	1	229	202	229	100	78.9432	38.9	48.4
JRIU01000278.1	1	387	230	387	100	75.9457	39.2	59.3
JRIU01000277.1	1	212	1764	212	100	791.222	39.3	59.6
JRIU01000276.1	1	300	389	300	100	110.34	39.1	47.6
JRIU01000275.1	1	210	535	210	100	275.948	39.1	47.9
JRIU01000274.1	1	247	2343	247	100	814.964	39.2	59.8
JRIU01000273.1	1	252	347	252	100	154.937	39	58.7
JRIU01000272.1	1	6186	3949	6186	100	92.2123	39.1	59.4
JRIU01000271.1	1	342	221	342	100	81.117	39	59
JRIU01000270.1	1	251	269	251	100	110.478	39.2	59.8
JRIU01000269.1	1	262	362	262	100	126.931	39.1	48.6
JRIU01000268.1	1	257	136	257	100	66.6187	39.1	57.3
