Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_000766475.2	Primary Assembly	Un			JRIU01000001.1	Chromosome			unplaced-scaffold	9053			scaffold-0
GCA_000766475.2	Primary Assembly	Un			JRIU01000002.1	Chromosome			unplaced-scaffold	114563			scaffold-1
GCA_000766475.2	Primary Assembly	Un			JRIU01000003.1	Chromosome			unplaced-scaffold	65673			scaffold-3
GCA_000766475.2	Primary Assembly	Un			JRIU01000004.1	Chromosome			unplaced-scaffold	81668			scaffold-4
GCA_000766475.2	Primary Assembly	Un			JRIU01000005.1	Chromosome			unplaced-scaffold	679			scaffold-5
GCA_000766475.2	Primary Assembly	Un			JRIU01000006.1	Chromosome			unplaced-scaffold	81554			scaffold-6
GCA_000766475.2	Primary Assembly	Un			JRIU01000007.1	Chromosome			unplaced-scaffold	260032			scaffold-7
GCA_000766475.2	Primary Assembly	Un			JRIU01000008.1	Chromosome			unplaced-scaffold	13055			scaffold-8
GCA_000766475.2	Primary Assembly	Un			JRIU01000009.1	Chromosome			unplaced-scaffold	57716			scaffold-9
GCA_000766475.2	Primary Assembly	Un			JRIU01000010.1	Chromosome			unplaced-scaffold	32399			scaffold-10
GCA_000766475.2	Primary Assembly	Un			JRIU01000011.1	Chromosome			unplaced-scaffold	1490			scaffold-11
GCA_000766475.2	Primary Assembly	Un			JRIU01000012.1	Chromosome			unplaced-scaffold	150181			scaffold-12
GCA_000766475.2	Primary Assembly	Un			JRIU01000013.1	Chromosome			unplaced-scaffold	8324			scaffold-14
GCA_000766475.2	Primary Assembly	Un			JRIU01000014.1	Chromosome			unplaced-scaffold	53418			scaffold-15
GCA_000766475.2	Primary Assembly	Un			JRIU01000015.1	Chromosome			unplaced-scaffold	339			scaffold-17
GCA_000766475.2	Primary Assembly	Un			JRIU01000016.1	Chromosome			unplaced-scaffold	90696			scaffold-18
GCA_000766475.2	Primary Assembly	Un			JRIU01000017.1	Chromosome			unplaced-scaffold	1644			scaffold-19
GCA_000766475.2	Primary Assembly	Un			JRIU01000018.1	Chromosome			unplaced-scaffold	100695			scaffold-20
GCA_000766475.2	Primary Assembly	Un			JRIU01000019.1	Chromosome			unplaced-scaffold	99425			scaffold-21
GCA_000766475.2	Primary Assembly	Un			JRIU01000020.1	Chromosome			unplaced-scaffold	582			scaffold-22
GCA_000766475.2	Primary Assembly	Un			JRIU01000021.1	Chromosome			unplaced-scaffold	43940			scaffold-24
GCA_000766475.2	Primary Assembly	Un			JRIU01000022.1	Chromosome			unplaced-scaffold	2797			scaffold-26
GCA_000766475.2	Primary Assembly	Un			JRIU01000023.1	Chromosome			unplaced-scaffold	2917			scaffold-27
GCA_000766475.2	Primary Assembly	Un			JRIU01000024.1	Chromosome			unplaced-scaffold	7628			scaffold-28
GCA_000766475.2	Primary Assembly	Un			JRIU01000025.1	Chromosome			unplaced-scaffold	697			scaffold-29
GCA_000766475.2	Primary Assembly	Un			JRIU01000026.1	Chromosome			unplaced-scaffold	92597			scaffold-31
GCA_000766475.2	Primary Assembly	Un			JRIU01000027.1	Chromosome			unplaced-scaffold	200129			scaffold-33
GCA_000766475.2	Primary Assembly	Un			JRIU01000028.1	Chromosome			unplaced-scaffold	976			scaffold-34
GCA_000766475.2	Primary Assembly	Un			JRIU01000029.1	Chromosome			unplaced-scaffold	2889			scaffold-36
GCA_000766475.2	Primary Assembly	Un			JRIU01000030.1	Chromosome			unplaced-scaffold	102607			scaffold-37
GCA_000766475.2	Primary Assembly	Un			JRIU01000031.1	Chromosome			unplaced-scaffold	128238			scaffold-38
GCA_000766475.2	Primary Assembly	Un			JRIU01000032.1	Chromosome			unplaced-scaffold	112697			scaffold-39
GCA_000766475.2	Primary Assembly	Un			JRIU01000033.1	Chromosome			unplaced-scaffold	63080			scaffold-40
GCA_000766475.2	Primary Assembly	Un			JRIU01000034.1	Chromosome			unplaced-scaffold	7726			scaffold-41
GCA_000766475.2	Primary Assembly	Un			JRIU01000035.1	Chromosome			unplaced-scaffold	35501			scaffold-42
GCA_000766475.2	Primary Assembly	Un			JRIU01000036.1	Chromosome			unplaced-scaffold	41874			scaffold-43
GCA_000766475.2	Primary Assembly	Un			JRIU01000037.1	Chromosome			unplaced-scaffold	243759			scaffold-45
GCA_000766475.2	Primary Assembly	Un			JRIU01000038.1	Chromosome			unplaced-scaffold	19970			scaffold-46
GCA_000766475.2	Primary Assembly	Un			JRIU01000039.1	Chromosome			unplaced-scaffold	4389			scaffold-47
GCA_000766475.2	Primary Assembly	Un			JRIU01000040.1	Chromosome			unplaced-scaffold	2684			scaffold-48
GCA_000766475.2	Primary Assembly	Un			JRIU01000041.1	Chromosome			unplaced-scaffold	80581			scaffold-49
GCA_000766475.2	Primary Assembly	Un			JRIU01000042.1	Chromosome			unplaced-scaffold	1420			scaffold-50
GCA_000766475.2	Primary Assembly	Un			JRIU01000043.1	Chromosome			unplaced-scaffold	209686			scaffold-51
GCA_000766475.2	Primary Assembly	Un			JRIU01000044.1	Chromosome			unplaced-scaffold	392			scaffold-52
GCA_000766475.2	Primary Assembly	Un			JRIU01000045.1	Chromosome			unplaced-scaffold	19072			scaffold-54
GCA_000766475.2	Primary Assembly	Un			JRIU01000046.1	Chromosome			unplaced-scaffold	114207			scaffold-56
GCA_000766475.2	Primary Assembly	Un			JRIU01000047.1	Chromosome			unplaced-scaffold	47648			scaffold-58
GCA_000766475.2	Primary Assembly	Un			JRIU01000048.1	Chromosome			unplaced-scaffold	16579			scaffold-59
GCA_000766475.2	Primary Assembly	Un			JRIU01000049.1	Chromosome			unplaced-scaffold	2689			scaffold-60
GCA_000766475.2	Primary Assembly	Un			JRIU01000050.1	Chromosome			unplaced-scaffold	8978			scaffold-62
GCA_000766475.2	Primary Assembly	Un			JRIU01000051.1	Chromosome			unplaced-scaffold	230			scaffold-63
GCA_000766475.2	Primary Assembly	Un			JRIU01000052.1	Chromosome			unplaced-scaffold	65944			scaffold-64
GCA_000766475.2	Primary Assembly	Un			JRIU01000053.1	Chromosome			unplaced-scaffold	8106			scaffold-65
GCA_000766475.2	Primary Assembly	Un			JRIU01000054.1	Chromosome			unplaced-scaffold	4663			scaffold-66
GCA_000766475.2	Primary Assembly	Un			JRIU01000055.1	Chromosome			unplaced-scaffold	66600			scaffold-67
GCA_000766475.2	Primary Assembly	Un			JRIU01000056.1	Chromosome			unplaced-scaffold	89927			scaffold-68
GCA_000766475.2	Primary Assembly	Un			JRIU01000057.1	Chromosome			unplaced-scaffold	49255			scaffold-70
GCA_000766475.2	Primary Assembly	Un			JRIU01000058.1	Chromosome			unplaced-scaffold	78266			scaffold-71
GCA_000766475.2	Primary Assembly	Un			JRIU01000059.1	Chromosome			unplaced-scaffold	213			scaffold-72
GCA_000766475.2	Primary Assembly	Un			JRIU01000060.1	Chromosome			unplaced-scaffold	41077			scaffold-73
GCA_000766475.2	Primary Assembly	Un			JRIU01000061.1	Chromosome			unplaced-scaffold	344			scaffold-75
GCA_000766475.2	Primary Assembly	Un			JRIU01000062.1	Chromosome			unplaced-scaffold	228550			scaffold-76
GCA_000766475.2	Primary Assembly	Un			JRIU01000063.1	Chromosome			unplaced-scaffold	323			scaffold-77
GCA_000766475.2	Primary Assembly	Un			JRIU01000064.1	Chromosome			unplaced-scaffold	108796			scaffold-78
GCA_000766475.2	Primary Assembly	Un			JRIU01000065.1	Chromosome			unplaced-scaffold	125219			scaffold-79
GCA_000766475.2	Primary Assembly	Un			JRIU01000066.1	Chromosome			unplaced-scaffold	4142			scaffold-80
GCA_000766475.2	Primary Assembly	Un			JRIU01000067.1	Chromosome			unplaced-scaffold	67078			scaffold-81
GCA_000766475.2	Primary Assembly	Un			JRIU01000068.1	Chromosome			unplaced-scaffold	236			scaffold-82
GCA_000766475.2	Primary Assembly	Un			JRIU01000069.1	Chromosome			unplaced-scaffold	2222			scaffold-83
GCA_000766475.2	Primary Assembly	Un			JRIU01000070.1	Chromosome			unplaced-scaffold	71065			scaffold-87
GCA_000766475.2	Primary Assembly	Un			JRIU01000071.1	Chromosome			unplaced-scaffold	4256			scaffold-89
GCA_000766475.2	Primary Assembly	Un			JRIU01000072.1	Chromosome			unplaced-scaffold	150714			scaffold-90
GCA_000766475.2	Primary Assembly	Un			JRIU01000073.1	Chromosome			unplaced-scaffold	272			scaffold-91
GCA_000766475.2	Primary Assembly	Un			JRIU01000074.1	Chromosome			unplaced-scaffold	85433			scaffold-92
GCA_000766475.2	Primary Assembly	Un			JRIU01000075.1	Chromosome			unplaced-scaffold	39173			scaffold-93
GCA_000766475.2	Primary Assembly	Un			JRIU01000076.1	Chromosome			unplaced-scaffold	10056			scaffold-94
GCA_000766475.2	Primary Assembly	Un			JRIU01000077.1	Chromosome			unplaced-scaffold	20828			scaffold-96
GCA_000766475.2	Primary Assembly	Un			JRIU01000078.1	Chromosome			unplaced-scaffold	72546			scaffold-98
GCA_000766475.2	Primary Assembly	Un			JRIU01000079.1	Chromosome			unplaced-scaffold	14050			scaffold-99
GCA_000766475.2	Primary Assembly	Un			JRIU01000080.1	Chromosome			unplaced-scaffold	265			scaffold-100
GCA_000766475.2	Primary Assembly	Un			JRIU01000081.1	Chromosome			unplaced-scaffold	1140			scaffold-101
GCA_000766475.2	Primary Assembly	Un			JRIU01000082.1	Chromosome			unplaced-scaffold	342			scaffold-103
GCA_000766475.2	Primary Assembly	Un			JRIU01000083.1	Chromosome			unplaced-scaffold	3222			scaffold-104
GCA_000766475.2	Primary Assembly	Un			JRIU01000084.1	Chromosome			unplaced-scaffold	25700			scaffold-105
GCA_000766475.2	Primary Assembly	Un			JRIU01000085.1	Chromosome			unplaced-scaffold	103145			scaffold-106
GCA_000766475.2	Primary Assembly	Un			JRIU01000086.1	Chromosome			unplaced-scaffold	184319			scaffold-107
GCA_000766475.2	Primary Assembly	Un			JRIU01000087.1	Chromosome			unplaced-scaffold	1754			scaffold-108
GCA_000766475.2	Primary Assembly	Un			JRIU01000088.1	Chromosome			unplaced-scaffold	190015			scaffold-111
GCA_000766475.2	Primary Assembly	Un			JRIU01000089.1	Chromosome			unplaced-scaffold	127587			scaffold-112
GCA_000766475.2	Primary Assembly	Un			JRIU01000090.1	Chromosome			unplaced-scaffold	4205			scaffold-113
GCA_000766475.2	Primary Assembly	Un			JRIU01000091.1	Chromosome			unplaced-scaffold	563			scaffold-114
GCA_000766475.2	Primary Assembly	Un			JRIU01000092.1	Chromosome			unplaced-scaffold	49227			scaffold-115
GCA_000766475.2	Primary Assembly	Un			JRIU01000093.1	Chromosome			unplaced-scaffold	29202			scaffold-116
GCA_000766475.2	Primary Assembly	Un			JRIU01000094.1	Chromosome			unplaced-scaffold	79276			scaffold-117
GCA_000766475.2	Primary Assembly	Un			JRIU01000095.1	Chromosome			unplaced-scaffold	38291			scaffold-118
GCA_000766475.2	Primary Assembly	Un			JRIU01000096.1	Chromosome			unplaced-scaffold	1312			scaffold-119
GCA_000766475.2	Primary Assembly	Un			JRIU01000097.1	Chromosome			unplaced-scaffold	46547			scaffold-120
GCA_000766475.2	Primary Assembly	Un			JRIU01000098.1	Chromosome			unplaced-scaffold	8525			scaffold-121
GCA_000766475.2	Primary Assembly	Un			JRIU01000099.1	Chromosome			unplaced-scaffold	89607			scaffold-122
GCA_000766475.2	Primary Assembly	Un			JRIU01000100.1	Chromosome			unplaced-scaffold	54648			scaffold-123
GCA_000766475.2	Primary Assembly	Un			JRIU01000101.1	Chromosome			unplaced-scaffold	79474			scaffold-124
GCA_000766475.2	Primary Assembly	Un			JRIU01000102.1	Chromosome			unplaced-scaffold	416			scaffold-125
GCA_000766475.2	Primary Assembly	Un			JRIU01000103.1	Chromosome			unplaced-scaffold	86887			scaffold-126
GCA_000766475.2	Primary Assembly	Un			JRIU01000104.1	Chromosome			unplaced-scaffold	42339			scaffold-127
GCA_000766475.2	Primary Assembly	Un			JRIU01000105.1	Chromosome			unplaced-scaffold	759			scaffold-128
GCA_000766475.2	Primary Assembly	Un			JRIU01000106.1	Chromosome			unplaced-scaffold	755			scaffold-129
GCA_000766475.2	Primary Assembly	Un			JRIU01000107.1	Chromosome			unplaced-scaffold	409			scaffold-130
GCA_000766475.2	Primary Assembly	Un			JRIU01000108.1	Chromosome			unplaced-scaffold	29787			scaffold-132
GCA_000766475.2	Primary Assembly	Un			JRIU01000109.1	Chromosome			unplaced-scaffold	10760			scaffold-135
GCA_000766475.2	Primary Assembly	Un			JRIU01000110.1	Chromosome			unplaced-scaffold	6782			scaffold-136
GCA_000766475.2	Primary Assembly	Un			JRIU01000111.1	Chromosome			unplaced-scaffold	263			scaffold-137
GCA_000766475.2	Primary Assembly	Un			JRIU01000112.1	Chromosome			unplaced-scaffold	7027			scaffold-138
GCA_000766475.2	Primary Assembly	Un			JRIU01000113.1	Chromosome			unplaced-scaffold	306			scaffold-139
GCA_000766475.2	Primary Assembly	Un			JRIU01000114.1	Chromosome			unplaced-scaffold	306			scaffold-140
GCA_000766475.2	Primary Assembly	Un			JRIU01000115.1	Chromosome			unplaced-scaffold	16715			scaffold-142
GCA_000766475.2	Primary Assembly	Un			JRIU01000116.1	Chromosome			unplaced-scaffold	59626			scaffold-143
GCA_000766475.2	Primary Assembly	Un			JRIU01000117.1	Chromosome			unplaced-scaffold	211			scaffold-144
GCA_000766475.2	Primary Assembly	Un			JRIU01000118.1	Chromosome			unplaced-scaffold	1687			scaffold-146
GCA_000766475.2	Primary Assembly	Un			JRIU01000119.1	Chromosome			unplaced-scaffold	385			scaffold-147
GCA_000766475.2	Primary Assembly	Un			JRIU01000120.1	Chromosome			unplaced-scaffold	9674			scaffold-148
GCA_000766475.2	Primary Assembly	Un			JRIU01000121.1	Chromosome			unplaced-scaffold	59584			scaffold-151
GCA_000766475.2	Primary Assembly	Un			JRIU01000122.1	Chromosome			unplaced-scaffold	140950			scaffold-153
GCA_000766475.2	Primary Assembly	Un			JRIU01000123.1	Chromosome			unplaced-scaffold	117283			scaffold-154
GCA_000766475.2	Primary Assembly	Un			JRIU01000124.1	Chromosome			unplaced-scaffold	23266			scaffold-155
GCA_000766475.2	Primary Assembly	Un			JRIU01000125.1	Chromosome			unplaced-scaffold	43186			scaffold-158
GCA_000766475.2	Primary Assembly	Un			JRIU01000126.1	Chromosome			unplaced-scaffold	133998			scaffold-159
GCA_000766475.2	Primary Assembly	Un			JRIU01000127.1	Chromosome			unplaced-scaffold	24131			scaffold-160
GCA_000766475.2	Primary Assembly	Un			JRIU01000128.1	Chromosome			unplaced-scaffold	4176			scaffold-161
GCA_000766475.2	Primary Assembly	Un			JRIU01000129.1	Chromosome			unplaced-scaffold	20041			scaffold-163
GCA_000766475.2	Primary Assembly	Un			JRIU01000130.1	Chromosome			unplaced-scaffold	434			scaffold-165
GCA_000766475.2	Primary Assembly	Un			JRIU01000131.1	Chromosome			unplaced-scaffold	70561			scaffold-167
GCA_000766475.2	Primary Assembly	Un			JRIU01000132.1	Chromosome			unplaced-scaffold	36633			scaffold-168
GCA_000766475.2	Primary Assembly	Un			JRIU01000133.1	Chromosome			unplaced-scaffold	336272			scaffold-169
GCA_000766475.2	Primary Assembly	Un			JRIU01000134.1	Chromosome			unplaced-scaffold	2850			scaffold-170
GCA_000766475.2	Primary Assembly	Un			JRIU01000135.1	Chromosome			unplaced-scaffold	68146			scaffold-172
GCA_000766475.2	Primary Assembly	Un			JRIU01000136.1	Chromosome			unplaced-scaffold	10620			scaffold-173
GCA_000766475.2	Primary Assembly	Un			JRIU01000137.1	Chromosome			unplaced-scaffold	124619			scaffold-174
GCA_000766475.2	Primary Assembly	Un			JRIU01000138.1	Chromosome			unplaced-scaffold	49460			scaffold-175
GCA_000766475.2	Primary Assembly	Un			JRIU01000139.1	Chromosome			unplaced-scaffold	270			scaffold-176
GCA_000766475.2	Primary Assembly	Un			JRIU01000140.1	Chromosome			unplaced-scaffold	34873			scaffold-177
GCA_000766475.2	Primary Assembly	Un			JRIU01000141.1	Chromosome			unplaced-scaffold	71009			scaffold-178
GCA_000766475.2	Primary Assembly	Un			JRIU01000142.1	Chromosome			unplaced-scaffold	68880			scaffold-181
GCA_000766475.2	Primary Assembly	Un			JRIU01000143.1	Chromosome			unplaced-scaffold	1433			scaffold-183
GCA_000766475.2	Primary Assembly	Un			JRIU01000144.1	Chromosome			unplaced-scaffold	32124			scaffold-185
GCA_000766475.2	Primary Assembly	Un			JRIU01000145.1	Chromosome			unplaced-scaffold	36783			scaffold-186
GCA_000766475.2	Primary Assembly	Un			JRIU01000146.1	Chromosome			unplaced-scaffold	16573			scaffold-188
GCA_000766475.2	Primary Assembly	Un			JRIU01000147.1	Chromosome			unplaced-scaffold	40134			scaffold-190
GCA_000766475.2	Primary Assembly	Un			JRIU01000148.1	Chromosome			unplaced-scaffold	14492			scaffold-191
GCA_000766475.2	Primary Assembly	Un			JRIU01000149.1	Chromosome			unplaced-scaffold	23978			scaffold-192
GCA_000766475.2	Primary Assembly	Un			JRIU01000150.1	Chromosome			unplaced-scaffold	612			scaffold-193
