Treatment	Gene_ID	SC_Gene_ID	Gene_Name	Product	Scaffold	Length	Variants	Density	Global_Density	Fold_Enrichment	Expected_Count	P_Value	Q_Value
CAS	W3030O00140	YNL280C	ERG24	hypothetical protein	scaffold_15	1318	72	54.628225	0.000000	2.802948	25.69	5.540006e-14	5.540006e-14
CAS	W3030X00260	YHR190W	ERG9	hypothetical protein	scaffold_24	1033	32	30.977735	0.000000	1.589453	20.13	8.832696e-03	8.832696e-03
CAS-CTRL	W3030O00140	YNL280C	ERG24	hypothetical protein	scaffold_15	1318	23	17.450683	0.000000	2.593533	8.87	5.386276e-05	5.386276e-05
STC	W3030O00140	YNL280C	ERG24	hypothetical protein	scaffold_15	1318	69	52.352049	0.000000	2.894944	23.83	4.188518e-14	4.188518e-14
STC	W3030X00260	YHR190W	ERG9	hypothetical protein	scaffold_24	1033	33	31.945789	0.000000	1.766526	18.68	1.719342e-03	1.719342e-03
STC-CTRL	W3030O00140	YNL280C	ERG24	hypothetical protein	scaffold_15	1318	23	17.450683	0.000000	2.686159	8.56	3.201952e-05	3.201952e-05
WT	W3030O00140	YNL280C	ERG24	hypothetical protein	scaffold_15	1318	21	15.933232	0.000000	2.641240	7.95	8.643086e-05	8.643086e-05
WT-37	W3030O00140	YNL280C	ERG24	hypothetical protein	scaffold_15	1318	72	54.628225	0.000000	2.950559	24.40	4.846022e-15	4.846022e-15
WT-37	W3030X00260	YHR190W	ERG9	hypothetical protein	scaffold_24	1033	32	30.977735	0.000000	1.673158	19.13	4.387855e-03	4.387855e-03
WTA	W3030O00140	YNL280C	ERG24	hypothetical protein	scaffold_15	1318	67	50.834598	0.000000	2.671916	25.08	3.129473e-12	3.129473e-12
WTA	W3030X00260	YHR190W	ERG9	hypothetical protein	scaffold_24	1033	33	31.945789	0.000000	1.679102	19.65	3.676126e-03	3.676126e-03
