VCF_Chromosome	SnpEff_Chromosome	JRIU_Number	Scaffold_Number	Mapping_Type	GenBank_File
JRIU01000371.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000361.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000351.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000341.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000331.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000321.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000311.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000301.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000291.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000281.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000271.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000261.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000251.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000241.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000231.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000221.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000211.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000201.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000191.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000181.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000171.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000161.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000151.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000141.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000131.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000121.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000111.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000101.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000091.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000081.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000071.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000061.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000051.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000041.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000031.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000021.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000011.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000001.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000411.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000401.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000391.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000381.1	w303_scaffold_1	1	1	Number match	w303_13Apr2025_scaffold_1.genbank
JRIU01000362.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000352.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000342.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000332.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000322.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000312.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000302.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000292.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000282.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000272.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000262.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000252.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
JRIU01000242.1	w303_scaffold_2	2	2	Number match	w303_13Apr2025_scaffold_2.genbank
