VCF_Chromosome	SnpEff_Chromosome	Notes
unknown	w303_13Apr2025_scaffold_193	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_183	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_334	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_324	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_409	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_356	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_346	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_148	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_158	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_297	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_287	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_53	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_263	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_43	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_115	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_105	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_88	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_98	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_177	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_3	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_167	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_211	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_31	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_369	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_201	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_379	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_21	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_237	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_17	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_227	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_151	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_141	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_394	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_384	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_133	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_123	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_255	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_75	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_245	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_65	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_400	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_410	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_91	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_81	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_208	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_370	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_28	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_218	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_38	Extracted from GenBank
unknown	w303_13Apr2025_scaffold_360	Extracted from GenBank
