JRIU_Chromosome	JRIU_Number	W303_Scaffold	W303_Number	Mapping_Type
JRIU01000370.1	0	w303_scaffold_1	1	Numeric_Order
JRIU01000360.1	0	w303_scaffold_1:2096-4009, strand:1, id:Gene_2096_4009, name:W3030A00100	1	Numeric_Order
JRIU01000350.1	0	EXON_w303_scaffold_1_2096_4009	1	Numeric_Order
JRIU01000340.1	0	w303_scaffold_1:4121-6148, strand:-1, id:Gene_4121_6148, name:W3030A00110	1	Numeric_Order
JRIU01000330.1	0	EXON_w303_scaffold_1_4121_6148	1	Numeric_Order
JRIU01000320.1	0	w303_scaffold_1:6454-8187, strand:1, id:Gene_6454_8187, name:W3030A00120	1	Numeric_Order
JRIU01000310.1	0	EXON_w303_scaffold_1_6454_8187	1	Numeric_Order
JRIU01000300.1	0	w303_scaffold_1:8591-10480, strand:-1, id:Gene_8591_10480, name:W3030A00130	1	Numeric_Order
JRIU01000290.1	0	EXON_w303_scaffold_1_8591_10480	1	Numeric_Order
JRIU01000280.1	0	w303_scaffold_1:11547-12476, strand:-1, id:Gene_11547_12476, name:W3030A00140	1	Numeric_Order
JRIU01000270.1	0	EXON_w303_scaffold_1_11547_12476	1	Numeric_Order
JRIU01000260.1	0	w303_scaffold_1:13177-13836, strand:1, id:Gene_13177_13836, name:W3030A00150	1	Numeric_Order
JRIU01000250.1	0	EXON_w303_scaffold_1_13177_13836	1	Numeric_Order
JRIU01000240.1	0	w303_scaffold_1:14066-15229, strand:-1, id:Gene_14066_15229, name:W3030A00160	1	Numeric_Order
JRIU01000230.1	0	EXON_w303_scaffold_1_14066_15229	1	Numeric_Order
JRIU01000220.1	0	w303_scaffold_1:16384-17190, strand:1, id:Gene_16384_17190, name:W3030A00170	1	Numeric_Order
JRIU01000210.1	0	EXON_w303_scaffold_1_16384_17190	1	Numeric_Order
JRIU01000200.1	0	w303_scaffold_1:17362-18381, strand:-1, id:Gene_17362_18381, name:W3030A00180	1	Numeric_Order
JRIU01000190.1	0	EXON_w303_scaffold_1_17362_18381	1	Numeric_Order
JRIU01000180.1	0	w303_scaffold_1:18752-19525, strand:1, id:Gene_18752_19525, name:W3030A00190	1	Numeric_Order
JRIU01000170.1	0	w303_scaffold_2	2	Numeric_Order
JRIU01000160.1	0	w303_scaffold_3	3	Numeric_Order
JRIU01000150.1	0	w303_scaffold_4	4	Numeric_Order
JRIU01000140.1	0	w303_scaffold_5	5	Numeric_Order
JRIU01000130.1	0	w303_scaffold_6	6	Numeric_Order
JRIU01000120.1	0	w303_scaffold_7	7	Numeric_Order
JRIU01000110.1	0	w303_scaffold_8	8	Numeric_Order
JRIU01000100.1	0	w303_scaffold_9	9	Numeric_Order
JRIU01000090.1	0	w303_scaffold_10	10	Numeric_Order
JRIU01000080.1	0	w303_scaffold_11	11	Numeric_Order
JRIU01000070.1	0	w303_scaffold_12	12	Numeric_Order
JRIU01000060.1	0	w303_scaffold_13	13	Numeric_Order
JRIU01000050.1	0	w303_scaffold_14	14	Numeric_Order
JRIU01000040.1	0	w303_scaffold_15	15	Numeric_Order
JRIU01000030.1	0	w303_scaffold_16	16	Numeric_Order
JRIU01000020.1	0	w303_scaffold_17	17	Numeric_Order
JRIU01000010.1	0	w303_scaffold_18	18	Numeric_Order
JRIU01000410.1	0	w303_scaffold_19	19	Numeric_Order
JRIU01000400.1	0	w303_scaffold_20	20	Numeric_Order
JRIU01000390.1	0	w303_scaffold_21	21	Numeric_Order
JRIU01000380.1	0	w303_scaffold_22	22	Numeric_Order
JRIU01000371.1	1	w303_scaffold_23	23	Numeric_Order
JRIU01000361.1	1	w303_scaffold_24	24	Numeric_Order
JRIU01000351.1	1	w303_scaffold_25	25	Numeric_Order
JRIU01000341.1	1	w303_scaffold_26	26	Numeric_Order
JRIU01000331.1	1	w303_scaffold_27	27	Numeric_Order
JRIU01000321.1	1	w303_scaffold_28	28	Numeric_Order
JRIU01000311.1	1	w303_scaffold_29	29	Numeric_Order
JRIU01000301.1	1	w303_scaffold_30	30	Numeric_Order
JRIU01000291.1	1	w303_scaffold_31	31	Numeric_Order
JRIU01000281.1	1	w303_scaffold_32	32	Numeric_Order
JRIU01000271.1	1	w303_scaffold_33	33	Numeric_Order
JRIU01000261.1	1	w303_scaffold_34	34	Numeric_Order
JRIU01000251.1	1	w303_scaffold_35	35	Numeric_Order
JRIU01000241.1	1	w303_scaffold_36	36	Numeric_Order
JRIU01000231.1	1	w303_scaffold_37	37	Numeric_Order
JRIU01000221.1	1	w303_scaffold_38	38	Numeric_Order
JRIU01000211.1	1	w303_scaffold_39	39	Numeric_Order
JRIU01000201.1	1	w303_scaffold_40	40	Numeric_Order
JRIU01000191.1	1	w303_scaffold_41	41	Numeric_Order
JRIU01000181.1	1	w303_scaffold_42	42	Numeric_Order
JRIU01000171.1	1	w303_scaffold_43	43	Numeric_Order
JRIU01000161.1	1	w303_scaffold_44	44	Numeric_Order
JRIU01000151.1	1	w303_scaffold_45	45	Numeric_Order
JRIU01000141.1	1	w303_scaffold_46	46	Numeric_Order
JRIU01000131.1	1	w303_scaffold_47	47	Numeric_Order
JRIU01000121.1	1	w303_scaffold_48	48	Numeric_Order
JRIU01000111.1	1	w303_scaffold_49	49	Numeric_Order
JRIU01000101.1	1	w303_scaffold_50	50	Numeric_Order
JRIU01000091.1	1	w303_scaffold_51	51	Numeric_Order
JRIU01000081.1	1	w303_scaffold_52	52	Numeric_Order
JRIU01000071.1	1	w303_scaffold_53	53	Numeric_Order
JRIU01000061.1	1	w303_scaffold_54	54	Numeric_Order
JRIU01000051.1	1	w303_scaffold_55	55	Numeric_Order
JRIU01000041.1	1	w303_scaffold_56	56	Numeric_Order
JRIU01000031.1	1	w303_scaffold_57	57	Numeric_Order
JRIU01000021.1	1	w303_scaffold_58	58	Numeric_Order
JRIU01000011.1	1	w303_scaffold_59	59	Numeric_Order
JRIU01000001.1	1	w303_scaffold_60	60	Numeric_Order
JRIU01000411.1	1	w303_scaffold_61	61	Numeric_Order
JRIU01000401.1	1	w303_scaffold_62	62	Numeric_Order
JRIU01000391.1	1	w303_scaffold_63	63	Numeric_Order
JRIU01000381.1	1	w303_scaffold_64	64	Numeric_Order
JRIU01000362.1	2	w303_scaffold_65	65	Numeric_Order
JRIU01000352.1	2	w303_scaffold_66	66	Numeric_Order
JRIU01000342.1	2	w303_scaffold_67	67	Numeric_Order
JRIU01000332.1	2	w303_scaffold_68	68	Numeric_Order
JRIU01000322.1	2	w303_scaffold_69	69	Numeric_Order
JRIU01000312.1	2	w303_scaffold_70	70	Numeric_Order
JRIU01000302.1	2	w303_scaffold_71	71	Numeric_Order
JRIU01000292.1	2	w303_scaffold_72	72	Numeric_Order
JRIU01000282.1	2	w303_scaffold_73	73	Numeric_Order
JRIU01000272.1	2	w303_scaffold_74	74	Numeric_Order
JRIU01000262.1	2	w303_scaffold_75	75	Numeric_Order
JRIU01000252.1	2	w303_scaffold_76	76	Numeric_Order
JRIU01000242.1	2	w303_scaffold_77	77	Numeric_Order
JRIU01000232.1	2	w303_scaffold_78	78	Numeric_Order
JRIU01000222.1	2	w303_scaffold_79	79	Numeric_Order
JRIU01000212.1	2	w303_scaffold_80	80	Numeric_Order
JRIU01000202.1	2	w303_scaffold_81	81	Numeric_Order
JRIU01000192.1	2	w303_scaffold_82	82	Numeric_Order
JRIU01000182.1	2	w303_scaffold_83	83	Numeric_Order
JRIU01000172.1	2	w303_scaffold_84	84	Numeric_Order
JRIU01000162.1	2	w303_scaffold_85	85	Numeric_Order
JRIU01000152.1	2	w303_scaffold_86	86	Numeric_Order
JRIU01000142.1	2	w303_scaffold_87	87	Numeric_Order
JRIU01000132.1	2	w303_scaffold_88	88	Numeric_Order
JRIU01000122.1	2	w303_scaffold_89	89	Numeric_Order
JRIU01000112.1	2	w303_scaffold_90	90	Numeric_Order
JRIU01000102.1	2	w303_scaffold_91	91	Numeric_Order
JRIU01000092.1	2	w303_scaffold_92	92	Numeric_Order
JRIU01000082.1	2	w303_scaffold_93	93	Numeric_Order
JRIU01000072.1	2	w303_scaffold_94	94	Numeric_Order
JRIU01000062.1	2	w303_scaffold_95	95	Numeric_Order
JRIU01000052.1	2	w303_scaffold_96	96	Numeric_Order
JRIU01000042.1	2	w303_scaffold_97	97	Numeric_Order
JRIU01000032.1	2	w303_scaffold_98	98	Numeric_Order
JRIU01000022.1	2	w303_scaffold_99	99	Numeric_Order
JRIU01000012.1	2	w303_scaffold_100	100	Numeric_Order
JRIU01000002.1	2	w303_scaffold_101	101	Numeric_Order
JRIU01000412.1	2	w303_scaffold_102	102	Numeric_Order
JRIU01000402.1	2	w303_scaffold_103	103	Numeric_Order
JRIU01000392.1	2	w303_scaffold_104	104	Numeric_Order
JRIU01000382.1	2	w303_scaffold_105	105	Numeric_Order
JRIU01000372.1	2	w303_scaffold_106	106	Numeric_Order
JRIU01000363.1	3	w303_scaffold_107	107	Numeric_Order
JRIU01000353.1	3	w303_scaffold_108	108	Numeric_Order
JRIU01000343.1	3	w303_scaffold_109	109	Numeric_Order
JRIU01000333.1	3	w303_scaffold_110	110	Numeric_Order
JRIU01000323.1	3	w303_scaffold_111	111	Numeric_Order
JRIU01000313.1	3	w303_scaffold_112	112	Numeric_Order
JRIU01000303.1	3	w303_scaffold_113	113	Numeric_Order
JRIU01000293.1	3	w303_scaffold_114	114	Numeric_Order
JRIU01000283.1	3	w303_scaffold_115	115	Numeric_Order
JRIU01000273.1	3	w303_scaffold_116	116	Numeric_Order
JRIU01000263.1	3	w303_scaffold_117	117	Numeric_Order
JRIU01000253.1	3	w303_scaffold_118	118	Numeric_Order
JRIU01000243.1	3	w303_scaffold_119	119	Numeric_Order
JRIU01000233.1	3	w303_scaffold_120	120	Numeric_Order
JRIU01000223.1	3	w303_scaffold_121	121	Numeric_Order
JRIU01000213.1	3	w303_scaffold_122	122	Numeric_Order
JRIU01000203.1	3	w303_scaffold_123	123	Numeric_Order
JRIU01000193.1	3	w303_scaffold_124	124	Numeric_Order
JRIU01000183.1	3	w303_scaffold_125	125	Numeric_Order
JRIU01000173.1	3	w303_scaffold_126	126	Numeric_Order
JRIU01000163.1	3	w303_scaffold_127	127	Numeric_Order
JRIU01000153.1	3	w303_scaffold_128	128	Numeric_Order
JRIU01000143.1	3	w303_scaffold_129	129	Numeric_Order
JRIU01000133.1	3	w303_scaffold_130	130	Numeric_Order
JRIU01000123.1	3	w303_scaffold_131	131	Numeric_Order
JRIU01000113.1	3	w303_scaffold_132	132	Numeric_Order
JRIU01000103.1	3	w303_scaffold_133	133	Numeric_Order
JRIU01000093.1	3	w303_scaffold_134	134	Numeric_Order
JRIU01000083.1	3	w303_scaffold_135	135	Numeric_Order
JRIU01000073.1	3	w303_scaffold_136	136	Numeric_Order
JRIU01000063.1	3	w303_scaffold_137	137	Numeric_Order
JRIU01000053.1	3	w303_scaffold_138	138	Numeric_Order
JRIU01000043.1	3	w303_scaffold_139	139	Numeric_Order
JRIU01000033.1	3	w303_scaffold_140	140	Numeric_Order
JRIU01000023.1	3	w303_scaffold_141	141	Numeric_Order
JRIU01000013.1	3	w303_scaffold_142	142	Numeric_Order
JRIU01000003.1	3	w303_scaffold_143	143	Numeric_Order
JRIU01000413.1	3	w303_scaffold_144	144	Numeric_Order
JRIU01000403.1	3	w303_scaffold_145	145	Numeric_Order
JRIU01000393.1	3	w303_scaffold_146	146	Numeric_Order
JRIU01000383.1	3	w303_scaffold_147	147	Numeric_Order
JRIU01000373.1	3	w303_scaffold_148	148	Numeric_Order
JRIU01000364.1	4	w303_scaffold_149	149	Numeric_Order
JRIU01000354.1	4	w303_scaffold_150	150	Numeric_Order
JRIU01000344.1	4	w303_scaffold_151	151	Numeric_Order
JRIU01000334.1	4	w303_scaffold_152	152	Numeric_Order
JRIU01000324.1	4	w303_scaffold_153	153	Numeric_Order
JRIU01000314.1	4	w303_scaffold_154	154	Numeric_Order
JRIU01000304.1	4	w303_scaffold_155	155	Numeric_Order
JRIU01000294.1	4	w303_scaffold_156	156	Numeric_Order
JRIU01000284.1	4	w303_scaffold_157	157	Numeric_Order
JRIU01000274.1	4	w303_scaffold_158	158	Numeric_Order
JRIU01000264.1	4	w303_scaffold_159	159	Numeric_Order
JRIU01000254.1	4	w303_scaffold_160	160	Numeric_Order
JRIU01000244.1	4	w303_scaffold_161	161	Numeric_Order
JRIU01000234.1	4	w303_scaffold_162	162	Numeric_Order
JRIU01000224.1	4	w303_scaffold_163	163	Numeric_Order
JRIU01000214.1	4	w303_scaffold_164	164	Numeric_Order
JRIU01000204.1	4	w303_scaffold_165	165	Numeric_Order
JRIU01000194.1	4	w303_scaffold_166	166	Numeric_Order
JRIU01000184.1	4	w303_scaffold_167	167	Numeric_Order
JRIU01000174.1	4	w303_scaffold_168	168	Numeric_Order
JRIU01000164.1	4	w303_scaffold_169	169	Numeric_Order
JRIU01000154.1	4	w303_scaffold_170	170	Numeric_Order
JRIU01000144.1	4	w303_scaffold_171	171	Numeric_Order
JRIU01000134.1	4	w303_scaffold_172	172	Numeric_Order
JRIU01000124.1	4	w303_scaffold_173	173	Numeric_Order
JRIU01000114.1	4	w303_scaffold_174	174	Numeric_Order
JRIU01000104.1	4	w303_scaffold_175	175	Numeric_Order
