W303_Scaffold	NCBI_Accession	Version_Info	Definition
w303_13Apr2025_scaffold_193	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_183	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_334	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_324	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_409	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_356	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_346	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_148	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_158	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_297	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_287	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_53	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_263	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_43	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_115	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_105	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_88	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_98	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_177	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_3	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_167	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_211	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_31	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_369	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_201	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_379	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_21	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_237	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_17	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_227	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_151	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_141	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_394	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_384	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_133	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_123	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_255	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_75	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_245	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_65	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_400	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_410	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_91	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_81	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_208	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_370	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_28	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_218	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_38	unknown		DEFINITION  w303-annotated_by_ygap
w303_13Apr2025_scaffold_360	unknown		DEFINITION  w303-annotated_by_ygap
