w303_gene_id	locus_tag	sc_gene_id	erg_name	w303_scaffold	chromosome_id	start	end	length	strand	product	annotation
W3030G02340	W303_0G02340	YGL012W	ERG4	w303_scaffold_7	CM007970.1	469848	471270	1422	+	hypothetical protein	similar to Saccharomyces cerevisiae ERG4 (YGL012W); ancestral locus Anc_4.112; ancestral locus Anc_4.112
W3030G02990	W303_0G02990	YGR060W	ERG25	w303_scaffold_7	CM007970.1	607691	608621	930	+	hypothetical protein	similar to Saccharomyces cerevisiae ERG25 (YGR060W); ancestral locus Anc_4.206; ancestral locus Anc_4.206
W3030G04090	W303_0G04090	YGR175C	ERG1	w303_scaffold_7	CM007970.1	846495	847986	1491	-	hypothetical protein	similar to Saccharomyces cerevisiae ERG1 (YGR175C); ancestral locus Anc_5.185; ancestral locus Anc_5.185
W3030H00650	W303_0H00650	YHR007C	ERG11	w303_scaffold_8	CM007971.1	115709	117302	1593	-	hypothetical protein	similar to Saccharomyces cerevisiae ERG11 (YHR007C); ancestral locus Anc_5.588; ancestral locus Anc_5.588
W3030H01430	W303_0H01430	YHR072W	ERG7	w303_scaffold_8	CM007971.1	247127	249323	2196	+	hypothetical protein	similar to Saccharomyces cerevisiae ERG7 (YHR072W); ancestral locus Anc_5.351; ancestral locus Anc_5.351
W3030H01440	W303_0H01440	YHR072W	ERG7	w303_scaffold_8	CM007971.1	249693	249870	177	+	hypothetical protein	similar to Saccharomyces cerevisiae NOP10 (YHR072W-A); ancestral locus Anc_5.353; ancestral locus Anc_5.353
W3030H02610	W303_0H02610	YHR190W	ERG9	w303_scaffold_8	CM007971.1	492912	494247	1335	+	hypothetical protein	similar to Saccharomyces cerevisiae ERG9 (YHR190W); ancestral locus Anc_8.857; ancestral locus Anc_8.857
W3030L01320	W303_0L01320	YLR056W	ERG3	w303_scaffold_12	CM007975.1	269077	270175	1098	+	hypothetical protein	similar to Saccharomyces cerevisiae ERG3 (YLR056W); ancestral locus Anc_8.41; ancestral locus Anc_8.41
W3030P01300	W303_0P01300	YML008C	ERG6	w303_scaffold_16	CM007976.1	252164	253316	1152	-	hypothetical protein	similar to Saccharomyces cerevisiae ERG6 (YML008C); ancestral locus Anc_5.529; ancestral locus Anc_5.529
W3030P01520	W303_0P01520	YMR015C	ERG5	w303_scaffold_16	CM007976.1	301194	302811	1617	-	hypothetical protein	similar to Saccharomyces cerevisiae ERG5 (YMR015C); ancestral locus Anc_2.562; ancestral locus Anc_2.562
W3030P03320	W303_0P03320	YMR202W	ERG2	w303_scaffold_16	CM007976.1	667847	668516	669	+	hypothetical protein	similar to Saccharomyces cerevisiae ERG2 (YMR202W); ancestral locus Anc_6.300; ancestral locus Anc_6.300
W3030Q00650	W303_0Q00650	YNL280C	ERG24	w303_scaffold_17	CM007977.1	109648	110965	1317	-	hypothetical protein	similar to Saccharomyces cerevisiae ERG24 (YNL280C); ancestral locus Anc_3.81; ancestral locus Anc_3.81
