Scaffold,Start,End,Region_Size,Treatments,Treatment_Count,Avg_Enrichment,Max_Treatment,Max_Enrichment,Enrichment_Details
JRIU01000195.1,16000,17000,1000,"WT-37, WTA, STC, CAS",4,691.7765776392725,STC,830.9693571428571,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 671.1675576923077, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 830.9693571428571, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 705.064909090909, 'Q_Value': 0.0}}"
JRIU01000195.1,16200,17200,1000,"WT-37, WTA, STC, CAS",4,691.7765776392725,STC,830.9693571428571,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 671.1675576923077, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 830.9693571428571, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 705.064909090909, 'Q_Value': 0.0}}"
JRIU01000031.1,126200,127200,1000,"WT-37, WTA, STC, CAS",4,542.1677212493389,CAS,705.064909090909,"{'WT-37': {'Fold_Enrichment': 497.6928770053476, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 596.5933846153846, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 705.064909090909, 'Q_Value': 0.0}}"
JRIU01000031.1,126400,127400,1000,"WT-37, WTA, STC, CAS",4,542.1677212493389,CAS,705.064909090909,"{'WT-37': {'Fold_Enrichment': 497.6928770053476, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 596.5933846153846, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 705.064909090909, 'Q_Value': 0.0}}"
JRIU01000031.1,126600,127600,1000,"WT-37, WTA, STC, CAS",4,542.1677212493389,CAS,705.064909090909,"{'WT-37': {'Fold_Enrichment': 497.6928770053476, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 596.5933846153846, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 705.064909090909, 'Q_Value': 0.0}}"
JRIU01000031.1,126800,127800,1000,"WT-37, WTA, STC, CAS",4,542.1677212493389,CAS,705.064909090909,"{'WT-37': {'Fold_Enrichment': 497.6928770053476, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 596.5933846153846, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 705.064909090909, 'Q_Value': 0.0}}"
JRIU01000031.1,126000,127000,1000,"WT-37, WTA, STC, CAS",4,485.9379971646001,CAS,616.9317954545454,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 616.9317954545454, 'Q_Value': 0.0}}"
JRIU01000148.1,12800,13800,1000,"WT-37, WTA, STC, CAS",4,429.3142282386731,WT-37,559.9044866310161,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'STC': {'Fold_Enrichment': 553.9795714285714, 'Q_Value': 4.5075054799781356e-14}, 'CAS': {'Fold_Enrichment': 528.7986818181818, 'Q_Value': 4.507505479978135e-14}}"
JRIU01000148.1,13000,14000,1000,"WT-37, WTA, STC, CAS",4,429.3142282386731,WT-37,559.9044866310161,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'STC': {'Fold_Enrichment': 553.9795714285714, 'Q_Value': 4.5075054799781356e-14}, 'CAS': {'Fold_Enrichment': 528.7986818181818, 'Q_Value': 4.507505479978135e-14}}"
JRIU01000148.1,13200,14200,1000,"WT-37, WTA, STC, CAS",4,429.3142282386731,WT-37,559.9044866310161,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'STC': {'Fold_Enrichment': 553.9795714285714, 'Q_Value': 4.5075054799781356e-14}, 'CAS': {'Fold_Enrichment': 528.7986818181818, 'Q_Value': 4.507505479978135e-14}}"
JRIU01000148.1,13400,14400,1000,"WT-37, WTA, STC, CAS",4,429.3142282386731,WT-37,559.9044866310161,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'STC': {'Fold_Enrichment': 553.9795714285714, 'Q_Value': 4.5075054799781356e-14}, 'CAS': {'Fold_Enrichment': 528.7986818181818, 'Q_Value': 4.507505479978135e-14}}"
JRIU01000243.1,0,1000,1000,"WT-37, WTA, STC, CAS",4,399.4000530058177,CAS,793.1980227272727,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 372.8708653846154, 'Q_Value': 4.09834911106172e-11}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 793.1980227272727, 'Q_Value': 0.0}}"
JRIU01000031.1,4800,5800,1000,"WT-37, WTA, STC, CAS",4,382.9071400143974,STC,646.3095,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 646.3095, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000031.1,5000,6000,1000,"WT-37, WTA, STC, CAS",4,382.9071400143974,STC,646.3095,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 646.3095, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000031.1,5200,6200,1000,"WT-37, WTA, STC, CAS",4,382.9071400143974,STC,646.3095,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 646.3095, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000031.1,5400,6400,1000,"WT-37, WTA, STC, CAS",4,382.9071400143974,STC,646.3095,"{'WT-37': {'Fold_Enrichment': 559.9044866310161, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 646.3095, 'Q_Value': 0.0}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000135.1,200,1200,1000,"WT-37, WTA, STC, CAS",4,319.2902620394311,CAS,440.6655681818182,"{'WT-37': {'Fold_Enrichment': 186.63482887700533, 'Q_Value': 4.875637720060514e-06}, 'WTA': {'Fold_Enrichment': 372.8708653846154, 'Q_Value': 4.09834911106172e-11}, 'STC': {'Fold_Enrichment': 276.9897857142857, 'Q_Value': 1.7054949707118183e-06}, 'CAS': {'Fold_Enrichment': 440.6655681818182, 'Q_Value': 2.1009483042178087e-11}}"
JRIU01000135.1,0,1000,1000,"WT-37, WTA, STC, CAS",4,319.2902620394311,CAS,440.6655681818182,"{'WT-37': {'Fold_Enrichment': 186.63482887700533, 'Q_Value': 4.875637720060514e-06}, 'WTA': {'Fold_Enrichment': 372.8708653846154, 'Q_Value': 4.09834911106172e-11}, 'STC': {'Fold_Enrichment': 276.9897857142857, 'Q_Value': 1.7054949707118183e-06}, 'CAS': {'Fold_Enrichment': 440.6655681818182, 'Q_Value': 2.1009483042178087e-11}}"
JRIU01000070.1,70000,71000,1000,"WT-37, WTA, STC, CAS",4,313.5599954934771,WTA,522.0192115384616,"{'WT-37': {'Fold_Enrichment': 186.63482887700533, 'Q_Value': 4.875637720060514e-06}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000031.1,45400,46400,1000,"WT-37, WTA, STC, CAS",4,306.52415869057415,WTA,522.0192115384616,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 92.32992857142857, 'Q_Value': 0.010772283171733843}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000031.1,45000,46000,1000,"WT-37, WTA, STC, CAS",4,306.52415869057415,WTA,522.0192115384616,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 92.32992857142857, 'Q_Value': 0.010772283171733843}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000031.1,45200,46200,1000,"WT-37, WTA, STC, CAS",4,306.52415869057415,WTA,522.0192115384616,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 92.32992857142857, 'Q_Value': 0.010772283171733843}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000031.1,45600,46600,1000,"WT-37, WTA, STC, CAS",4,306.52415869057415,WTA,522.0192115384616,"{'WT-37': {'Fold_Enrichment': 435.48126737967914, 'Q_Value': 0.0}, 'WTA': {'Fold_Enrichment': 522.0192115384616, 'Q_Value': 0.0}, 'STC': {'Fold_Enrichment': 92.32992857142857, 'Q_Value': 0.010772283171733843}, 'CAS': {'Fold_Enrichment': 176.26622727272726, 'Q_Value': 0.0002759347333236832}}"
JRIU01000126.1,79200,80200,1000,"WT-37, WTA, STC, CAS",4,248.85593355908796,STC,369.31971428571427,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.000564935111609448}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 352.5324545454545, 'Q_Value': 6.946354424997025e-09}}"
JRIU01000126.1,79400,80400,1000,"WT-37, WTA, STC, CAS",4,248.85593355908796,STC,369.31971428571427,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.000564935111609448}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 352.5324545454545, 'Q_Value': 6.946354424997025e-09}}"
JRIU01000126.1,79600,80600,1000,"WT-37, WTA, STC, CAS",4,248.85593355908796,STC,369.31971428571427,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.000564935111609448}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 352.5324545454545, 'Q_Value': 6.946354424997025e-09}}"
JRIU01000126.1,79800,80800,1000,"WT-37, WTA, STC, CAS",4,248.85593355908796,STC,369.31971428571427,"{'WT-37': {'Fold_Enrichment': 124.4232192513369, 'Q_Value': 0.000564935111609448}, 'WTA': {'Fold_Enrichment': 149.14834615384615, 'Q_Value': 0.0003619980386404542}, 'STC': {'Fold_Enrichment': 369.31971428571427, 'Q_Value': 5.244810444534923e-09}, 'CAS': {'Fold_Enrichment': 352.5324545454545, 'Q_Value': 6.946354424997025e-09}}"
JRIU01000031.1,44800,45800,1000,"WT-37, WTA, STC, CAS",4,216.09798893018746,WTA,372.8708653846154,"{'WT-37': {'Fold_Enrichment': 311.05804812834225, 'Q_Value': 9.285797527728132e-11}, 'WTA': {'Fold_Enrichment': 372.8708653846154, 'Q_Value': 4.09834911106172e-11}, 'STC': {'Fold_Enrichment': 92.32992857142857, 'Q_Value': 0.010772283171733843}, 'CAS': {'Fold_Enrichment': 88.13311363636363, 'Q_Value': 0.011282344612465689}}"
JRIU01000126.1,79000,80000,1000,"WT-37, WTA, STC, CAS",4,191.57700574058293,CAS,352.5324545454545,"{'WT-37': {'Fold_Enrichment': 62.21160962566845, 'Q_Value': 0.01594567013364312}, 'WTA': {'Fold_Enrichment': 74.57417307692307, 'Q_Value': 0.013319961773712086}, 'STC': {'Fold_Enrichment': 276.9897857142857, 'Q_Value': 1.7054949707118183e-06}, 'CAS': {'Fold_Enrichment': 352.5324545454545, 'Q_Value': 6.946354424997025e-09}}"
