Scaffold,Start,End,Region_Size,Avg_Enrichment,Max_Enrichment,Treatment_Count,Treatments
JRIU01000195.1,16200,17200,1000,632.4846978609626,705.064909090909,2,"WT-37, CAS"
JRIU01000195.1,16000,17000,1000,632.4846978609626,705.064909090909,2,"WT-37, CAS"
JRIU01000031.1,126600,127600,1000,601.3788930481284,705.064909090909,2,"WT-37, CAS"
JRIU01000031.1,126800,127800,1000,601.3788930481284,705.064909090909,2,"WT-37, CAS"
JRIU01000031.1,126400,127400,1000,601.3788930481284,705.064909090909,2,"WT-37, CAS"
JRIU01000031.1,126200,127200,1000,601.3788930481284,705.064909090909,2,"WT-37, CAS"
JRIU01000148.1,13400,14400,1000,544.3515842245989,559.9044866310161,2,"WT-37, CAS"
JRIU01000148.1,12800,13800,1000,544.3515842245989,559.9044866310161,2,"WT-37, CAS"
JRIU01000148.1,13000,14000,1000,544.3515842245989,559.9044866310161,2,"WT-37, CAS"
JRIU01000148.1,13200,14200,1000,544.3515842245989,559.9044866310161,2,"WT-37, CAS"
JRIU01000031.1,126000,127000,1000,526.2065314171123,616.9317954545454,2,"WT-37, CAS"
JRIU01000243.1,0,1000,1000,427.70481617647056,793.1980227272727,2,"WT-37, CAS"
JRIU01000031.1,5400,6400,1000,368.0853569518717,559.9044866310161,2,"WT-37, CAS"
JRIU01000031.1,5200,6200,1000,368.0853569518717,559.9044866310161,2,"WT-37, CAS"
JRIU01000031.1,5000,6000,1000,368.0853569518717,559.9044866310161,2,"WT-37, CAS"
JRIU01000031.1,4800,5800,1000,368.0853569518717,559.9044866310161,2,"WT-37, CAS"
JRIU01000135.1,200,1200,1000,313.65019852941174,440.6655681818182,2,"WT-37, CAS"
JRIU01000135.1,0,1000,1000,313.65019852941174,440.6655681818182,2,"WT-37, CAS"
JRIU01000031.1,45000,46000,1000,305.8737473262032,435.48126737967914,2,"WT-37, CAS"
JRIU01000031.1,45200,46200,1000,305.8737473262032,435.48126737967914,2,"WT-37, CAS"
JRIU01000031.1,45400,46400,1000,305.8737473262032,435.48126737967914,2,"WT-37, CAS"
JRIU01000031.1,45600,46600,1000,305.8737473262032,435.48126737967914,2,"WT-37, CAS"
JRIU01000126.1,79800,80800,1000,238.4778368983957,352.5324545454545,2,"WT-37, CAS"
JRIU01000126.1,79600,80600,1000,238.4778368983957,352.5324545454545,2,"WT-37, CAS"
JRIU01000126.1,79400,80400,1000,238.4778368983957,352.5324545454545,2,"WT-37, CAS"
JRIU01000126.1,79200,80200,1000,238.4778368983957,352.5324545454545,2,"WT-37, CAS"
JRIU01000103.1,85600,86600,1000,212.55633288770053,248.8464385026738,2,"WT-37, CAS"
JRIU01000103.1,85800,86800,1000,212.55633288770053,248.8464385026738,2,"WT-37, CAS"
JRIU01000126.1,79000,80000,1000,207.3720320855615,352.5324545454545,2,"WT-37, CAS"
JRIU01000031.1,44800,45800,1000,199.59558088235295,311.05804812834225,2,"WT-37, CAS"
JRIU01000070.1,70000,71000,1000,181.4505280748663,186.63482887700533,2,"WT-37, CAS"
JRIU01000147.1,0,1000,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000072.1,149200,150200,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000095.1,33000,34000,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000095.1,32800,33800,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000095.1,32600,33600,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000095.1,32400,33400,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000072.1,149600,150600,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000072.1,149400,150400,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000095.1,33200,34200,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000072.1,149000,150000,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000147.1,200,1200,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000070.1,69800,70800,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000031.1,5600,6600,1000,150.3447232620321,176.26622727272726,2,"WT-37, CAS"
JRIU01000031.1,45800,46800,1000,106.27816644385027,124.4232192513369,2,"WT-37, CAS"
JRIU01000149.1,200,1200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000149.1,600,1600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000149.1,400,1400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000166.1,17400,18400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000149.1,800,1800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000177.1,48600,49600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000375.1,600,1600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000375.1,400,1400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000375.1,200,1200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000375.1,0,1000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000177.1,49000,50000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000177.1,48800,49800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000177.1,48400,49400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000149.1,1000,2000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000177.1,48200,49200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000166.1,18000,19000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000166.1,17800,18800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000166.1,17600,18600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000123.1,93400,94400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000166.1,17200,18200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000123.1,93600,94600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000004.1,45600,46600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000123.1,93200,94200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000037.1,161600,162600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000037.1,161200,162200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000037.1,161000,162000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000036.1,40800,41800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000036.1,40600,41600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000036.1,40400,41400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000036.1,40200,41200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000031.1,127000,128000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000027.1,23600,24600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000027.1,23400,24400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000027.1,23200,24200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000027.1,23000,24000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000027.1,22800,23800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000004.1,46400,47400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000004.1,46200,47200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000004.1,46000,47000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000037.1,161400,162400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000037.1,161800,162800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000123.1,93000,94000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000072.1,15000,16000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000123.1,92800,93800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000116.1,18200,19200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000116.1,18000,19000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000116.1,17800,18800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000116.1,17600,18600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000116.1,17400,18400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000115.1,14600,15600,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000115.1,14400,15400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000115.1,14200,15200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000115.1,14000,15000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000115.1,13800,14800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000004.1,45800,46800,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000098.1,400,1400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000098.1,200,1200,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000098.1,0,1000,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
JRIU01000378.1,1400,2400,1000,75.17236163101605,88.13311363636363,2,"WT-37, CAS"
