Scaffold	Variants	Length_kb	Density_per_kb
JRIU01000031.1	17	128.238	.132
JRIU01000341.1	9	.236	38.135
JRIU01000195.1	9	17.280	.520
JRIU01000278.1	7	.387	18.087
JRIU01000094.1	7	79.276	.088
JRIU01000070.1	7	71.065	.098
JRIU01000117.1	6	.211	28.436
JRIU01000300.1	5	.272	18.382
JRIU01000243.1	5	9.473	.527
JRIU01000135.1	5	68.146	.073
JRIU01000299.1	3	.260	11.538
JRIU01000112.1	3	7.027	.426
JRIU01000098.1	3	8.525	.351
JRIU01000314.1	2	.414	4.830
JRIU01000294.1	2	.338	5.917
JRIU01000292.1	2	2.913	.686
JRIU01000269.1	2	.262	7.633
JRIU01000223.1	2	1.779	1.124
JRIU01000198.1	2	.283	7.067
JRIU01000176.1	2	126.538	.015
JRIU01000168.1	2	.985	2.030
JRIU01000157.1	2	.307	6.514
JRIU01000147.1	2	40.134	.049
JRIU01000126.1	2	133.998	.014
JRIU01000103.1	2	86.887	.023
JRIU01000095.1	2	38.291	.052
JRIU01000084.1	2	25.700	.077
JRIU01000072.1	2	150.714	.013
JRIU01000019.1	2	99.425	.020
JRIU01000398.1	1	.724	1.381
JRIU01000378.1	1	2.401	.416
JRIU01000375.1	1	2.465	.405
JRIU01000324.1	1	4.966	.201
JRIU01000305.1	1	.311	3.215
JRIU01000293.1	1	.449	2.227
JRIU01000287.1	1	.331	3.021
JRIU01000285.1	1	.278	3.597
JRIU01000226.1	1	4.264	.234
JRIU01000201.1	1	241.589	.004
JRIU01000191.1	1	172.874	.005
JRIU01000183.1	1	110.511	.009
JRIU01000166.1	1	20.288	.049
JRIU01000164.1	1	133.823	.007
JRIU01000154.1	1	193.654	.005
JRIU01000149.1	1	23.978	.041
JRIU01000148.1	1	14.492	.069
JRIU01000139.1	1	.270	3.703
JRIU01000130.1	1	.434	2.304
JRIU01000123.1	1	117.283	.008
JRIU01000116.1	1	59.626	.016
JRIU01000115.1	1	16.715	.059
JRIU01000113.1	1	.306	3.267
JRIU01000087.1	1	1.754	.570
JRIU01000086.1	1	184.319	.005
JRIU01000062.1	1	228.550	.004
JRIU01000056.1	1	89.927	.011
JRIU01000052.1	1	65.944	.015
JRIU01000051.1	1	.230	4.347
JRIU01000037.1	1	243.759	.004
JRIU01000036.1	1	41.874	.023
JRIU01000033.1	1	63.080	.015
JRIU01000032.1	1	112.697	.008
JRIU01000028.1	1	.976	1.024
JRIU01000026.1	1	92.597	.010
JRIU01000018.1	1	100.695	.009
JRIU01000012.1	1	150.181	.006
JRIU01000006.1	1	81.554	.012
JRIU01000004.1	1	81.668	.012
