sc_gene_id	sc_gene_name	match_type	confidence	w303_gene_id	scaffold_id	jriu_id	start	end	strand	product	matched_terms
YGL012W	ERG4	direct_id	high	W3030Y00390	scaffold_25	JRIU01000137.1	55891	57313	-	hypothetical protein	YGL012W
YGR060W	ERG25	direct_id	high	W3030W00270	scaffold_23	JRIU01000176.1	35899	36829	+	hypothetical protein	YGR060W
YGR175C	ERG1	direct_id	high	W3030AJ00440	scaffold_36	JRIU01000199.1	71491	72982	-	hypothetical protein	YGR175C
YHR007C	ERG11	direct_id	high	W3030EI00110	scaffold_139	JRIU01000265.1	3374	4967	-	hypothetical protein	YHR007C
YHR072W	ERG7	direct_id	high	W3030CB00150	scaffold_80	JRIU01000228.1	9159	11355	+	hypothetical protein	YHR072W
YHR072W	ERG7	direct_id	high	W3030CB00160	scaffold_80	JRIU01000228.1	11725	11902	+	hypothetical protein	YHR072W
YHR190W	ERG9	alias	high	W3030X00260	scaffold_24	JRIU01000065.1	34330	35362	+	hypothetical protein	SRT1
YHR190W	ERG9	direct_id	high	W3030BY00190	scaffold_77	JRIU01000221.1	19025	20360	+	hypothetical protein	YHR190W
YLR056W	ERG3	direct_id	high	W3030E01010	scaffold_5	JRIU01000062.1	196479	197577	-	hypothetical protein	YLR056W
YML008C	ERG6	direct_id	high	W3030S00270	scaffold_19	JRIU01000164.1	28555	29707	-	hypothetical protein	YML008C
YMR015C	ERG5	direct_id	high	W3030S00490	scaffold_19	JRIU01000164.1	77541	79158	-	hypothetical protein	YMR015C
YMR202W	ERG2	direct_id	high	W3030AD00260	scaffold_30	JRIU01000192.1	33369	34038	+	hypothetical protein	YMR202W
YNL280C	ERG24	direct_id	high	W3030O00140	scaffold_15	JRIU01000072.1	6597	7914	-	hypothetical protein	YNL280C
