gene_id	treatment	count	group_type	nearest_gene_name	effect	impact	region	erg_gene
Gene_107546_108313	CAS	4	gene_id					
Gene_107546_108313	STC	4	gene_id					
Gene_107546_108313	WT	1	gene_id					
Gene_107546_108313	WT-37	3	gene_id					
Gene_107546_108313	WTA	3	gene_id					
Gene_297170_297751	CAS	4	gene_id					
Gene_297170_297751	STC	4	gene_id					
Gene_297170_297751	WT	1	gene_id					
Gene_297170_297751	WT-37	3	gene_id					
Gene_297170_297751	WTA	3	gene_id					
Gene_590724_591833	CAS	4	gene_id					
Gene_590724_591833	STC	4	gene_id					
Gene_590724_591833	WT	1	gene_id					
Gene_590724_591833	WT-37	3	gene_id					
Gene_590724_591833	WTA	3	gene_id					
Gene_648520_650211	CAS	4	gene_id					
Gene_648520_650211	STC	4	gene_id					
Gene_648520_650211	WT	1	gene_id					
Gene_648520_650211	WT-37	3	gene_id					
Gene_648520_650211	WTA	3	gene_id					
	CAS	4	nearest_gene_name	ERG11				
	STC	4	nearest_gene_name	ERG11				
	WT	1	nearest_gene_name	ERG11				
	WT-37	3	nearest_gene_name	ERG11				
	WTA	3	nearest_gene_name	ERG11				
	CAS	8	nearest_gene_name	ERG25				
	STC	8	nearest_gene_name	ERG25				
	WT	2	nearest_gene_name	ERG25				
	WT-37	6	nearest_gene_name	ERG25				
	WTA	6	nearest_gene_name	ERG25				
	CAS	4	nearest_gene_name	ERG7				
	STC	4	nearest_gene_name	ERG7				
	WT	1	nearest_gene_name	ERG7				
	WT-37	3	nearest_gene_name	ERG7				
	WTA	3	nearest_gene_name	ERG7				
	CAS	8	effect		frameshift_variant			
	STC	8	effect		frameshift_variant			
	WT	2	effect		frameshift_variant			
	WT-37	6	effect		frameshift_variant			
	WTA	6	effect		frameshift_variant			
	CAS	8	effect		missense_variant			
	STC	8	effect		missense_variant			
	WT	2	effect		missense_variant			
	WT-37	6	effect		missense_variant			
	WTA	6	effect		missense_variant			
	CAS	8	impact			HIGH		
	STC	8	impact			HIGH		
	WT	2	impact			HIGH		
	WT-37	6	impact			HIGH		
	WTA	6	impact			HIGH		
	CAS	8	impact			MODERATE		
	STC	8	impact			MODERATE		
	WT	2	impact			MODERATE		
	WT-37	6	impact			MODERATE		
	WTA	6	impact			MODERATE		
	CAS	4	region				w303_scaffold_7_downstream	
	STC	4	region				w303_scaffold_7_downstream	
	WT	1	region				w303_scaffold_7_downstream	
	WT-37	3	region				w303_scaffold_7_downstream	
	WTA	3	region				w303_scaffold_7_downstream	
	CAS	4	region				w303_scaffold_7_upstream	
	STC	4	region				w303_scaffold_7_upstream	
	WT	1	region				w303_scaffold_7_upstream	
	WT-37	3	region				w303_scaffold_7_upstream	
	WTA	3	region				w303_scaffold_7_upstream	
	CAS	4	region				w303_scaffold_8_downstream	
	STC	4	region				w303_scaffold_8_downstream	
	WT	1	region				w303_scaffold_8_downstream	
	WT-37	3	region				w303_scaffold_8_downstream	
	WTA	3	region				w303_scaffold_8_downstream	
	CAS	4	region				w303_scaffold_8_upstream	
	STC	4	region				w303_scaffold_8_upstream	
	WT	1	region				w303_scaffold_8_upstream	
	WT-37	3	region				w303_scaffold_8_upstream	
	WTA	3	region				w303_scaffold_8_upstream	
	CAS	4	erg_gene					ERG11
	STC	4	erg_gene					ERG11
	WT	1	erg_gene					ERG11
	WT-37	3	erg_gene					ERG11
	WTA	3	erg_gene					ERG11
	CAS	8	erg_gene					ERG25
	STC	8	erg_gene					ERG25
	WT	2	erg_gene					ERG25
	WT-37	6	erg_gene					ERG25
	WTA	6	erg_gene					ERG25
	CAS	4	erg_gene					ERG7
	STC	4	erg_gene					ERG7
	WT	1	erg_gene					ERG7
	WT-37	3	erg_gene					ERG7
	WTA	3	erg_gene					ERG7
