Region	ERG_Gene	Gene_ID	Locus_Tag	Product	Start	End	Strand	Distance_to_ERG	Position_to_ERG	Variant_Count	Region_Variant_Count	Gene_Size	Expected_Variants	Enrichment
ERG11_upstream	ERG11	W3030H00650	unknown	unknown	115709	117302	-	0	overlapping	0	0	1593	0.0140715	0.0
ERG11_upstream	ERG11	W3030H00660	unknown	unknown	118507	119209	-	1205	upstream	0	0	702	0.006201	0.0
ERG11_upstream	ERG11	W3030H00670	unknown	unknown	119720	121292	-	2418	upstream	0	0	1572	0.013886	0.0
ERG11_upstream	ERG11	W3030H00680	unknown	unknown	122132	123104	+	4830	upstream	0	0	972	0.008586	0.0
ERG11_upstream	ERG11	W3030H00690	unknown	unknown	123391	124732	+	6089	upstream	0	0	1341	0.0118455	0.0
ERG11_upstream	ERG11	W3030H00700	unknown	unknown	125092	126060	+	7790	upstream	0	0	968	0.008550666666666666	0.0
ERG11_upstream	ERG11	W3030H00710	unknown	unknown	126341	127058	-	9039	upstream	0	0	717	0.006333500000000001	0.0
ERG11_upstream	ERG11	W3030H00720	unknown	unknown	127655	128531	+	10353	upstream	0	0	876	0.007738	0.0
ERG11_upstream	ERG11	W3030Htrna20S	unknown	unknown	128633	128715	-	11331	upstream	0	0	82	0.0007243333333333333	0.0
ERG11_upstream	ERG11	W3030Htrna9Q	unknown	unknown	130298	130370	+	12996	upstream	0	0	72	0.0006360000000000001	0.0
ERG11_upstream	ERG11	W3030H00730	unknown	unknown	130531	132511	+	13229	upstream	0	0	1980	0.01749	0.0
ERG11_upstream	ERG11	W3030H00740	unknown	unknown	132857	134006	-	15555	upstream	0	0	1149	0.010149499999999999	0.0
ERG11_upstream	ERG11	W3030H00750	unknown	unknown	134670	135828	+	17368	upstream	0	0	1158	0.010229	0.0
ERG11_upstream	ERG11	W3030H00760	unknown	unknown	135987	137379	-	18685	upstream	0	0	1392	0.012296	0.0
ERG11_upstream	ERG11	W3030H00770	unknown	unknown	137870	139535	-	20568	upstream	0	0	1665	0.014707500000000002	0.0
ERG11_upstream	ERG11	W3030H00780	unknown	unknown	139973	142052	+	22671	upstream	0	0	2079	0.018364500000000002	0.0
ERG11_upstream	ERG11	W3030Htrna17A	unknown	unknown	142231	142304	-	24929	upstream	0	0	73	0.0006448333333333333	0.0
ERG11_upstream	ERG11	W3030H00790	unknown	unknown	143860	144283	-	26558	upstream	0	0	423	0.0037365000000000002	0.0
ERG11_upstream	ERG11	W3030H00800	unknown	unknown	145661	146336	-	28359	upstream	0	0	675	0.0059625	0.0
ERG11_upstream	ERG11	W3030H00810	unknown	unknown	147652	153439	+	30350	upstream	0	0	5787	0.0511185	0.0
ERG11_upstream	ERG11	W3030H00820	unknown	unknown	153730	155179	-	36428	upstream	0	0	1449	0.0127995	0.0
ERG11_upstream	ERG11	W3030H00830	unknown	unknown	155424	156498	+	38122	upstream	0	0	1074	0.009486999999999999	0.0
ERG11_upstream	ERG11	W3030H00840	unknown	unknown	156830	157472	+	39528	upstream	0	0	642	0.005671	0.0
ERG11_upstream	ERG11	W3030H00850	unknown	unknown	157718	160700	-	40416	upstream	0	0	2982	0.026341000000000003	0.0
ERG11_upstream	ERG11	W3030H00860	unknown	unknown	160966	163423	-	43664	upstream	0	0	2457	0.0217035	0.0
ERG11_upstream	ERG11	W3030H00870	unknown	unknown	163665	164550	-	46363	upstream	0	0	885	0.0078175	0.0
ERG11_upstream	ERG11	W3030H00880	unknown	unknown	164878	166333	-	47576	upstream	0	0	1455	0.012852500000000001	0.0
ERG11_upstream	ERG11	W3030H00890	unknown	unknown	166787	168959	-	49485	upstream	0	0	2172	0.019186	0.0
ERG7_downstream	ERG7	W3030H01430	unknown	unknown	247127	249323	+	0	overlapping	0	0	2196	0.019398	0.0
ERG7_downstream	ERG7	W3030H01440	unknown	unknown	249693	249870	+	370	downstream	0	0	177	0.0015635	0.0
ERG7_downstream	ERG7	W3030H01450	unknown	unknown	250611	253602	+	1288	downstream	0	0	2991	0.026420500000000003	0.0
ERG7_downstream	ERG7	W3030H01460	unknown	unknown	254222	256367	+	4899	downstream	0	0	2145	0.018947500000000003	0.0
ERG7_downstream	ERG7	W3030H01470	unknown	unknown	256468	257671	-	7145	downstream	0	0	1203	0.0106265	0.0
ERG7_downstream	ERG7	W3030H01480	unknown	unknown	259130	260255	+	9807	downstream	0	0	1125	0.0099375	0.0
ERG7_downstream	ERG7	W3030H01490	unknown	unknown	260403	263679	-	11080	downstream	0	0	3276	0.028938000000000002	0.0
ERG7_downstream	ERG7	W3030H01500	unknown	unknown	264389	266048	+	15066	downstream	0	0	1659	0.014654499999999999	0.0
ERG7_downstream	ERG7	W3030H01510	unknown	unknown	266273	269621	-	16950	downstream	0	0	3348	0.029574	0.0
ERG7_downstream	ERG7	W3030H01520	unknown	unknown	270221	270583	-	20898	downstream	0	0	362	0.003197666666666667	0.0
ERG7_downstream	ERG7	W3030H01530	unknown	unknown	270830	274868	-	21507	downstream	0	0	4038	0.035669	0.0
ERG7_downstream	ERG7	W3030H01540	unknown	unknown	275567	276122	+	26244	downstream	0	0	555	0.0049025	0.0
ERG7_downstream	ERG7	W3030H01550	unknown	unknown	276488	279578	-	27165	downstream	0	0	3090	0.027295000000000003	0.0
ERG7_downstream	ERG7	W3030H01560	unknown	unknown	280656	281646	+	31333	downstream	0	0	990	0.008745	0.0
ERG7_downstream	ERG7	W3030H01570	unknown	unknown	282203	284270	+	32880	downstream	0	0	2067	0.0182585	0.0
ERG7_downstream	ERG7	W3030H01580	unknown	unknown	284792	285797	+	35469	downstream	0	0	1005	0.0088775	0.0
ERG7_downstream	ERG7	W3030H01590	unknown	unknown	286181	287753	+	36858	downstream	0	0	1572	0.013886	0.0
ERG7_downstream	ERG7	W3030H01600	unknown	unknown	288848	289184	+	39525	downstream	0	0	336	0.002968	0.0
ERG7_downstream	ERG7	W3030H01610	unknown	unknown	289523	290411	+	40200	downstream	0	0	888	0.007844	0.0
ERG7_downstream	ERG7	W3030H01620	unknown	unknown	290709	291327	-	41386	downstream	0	0	618	0.0054589999999999994	0.0
ERG7_downstream	ERG7	W3030H01630	unknown	unknown	291805	292654	-	42482	downstream	0	0	849	0.0074995	0.0
ERG7_downstream	ERG7	W3030H01640	unknown	unknown	292867	294799	-	43544	downstream	0	0	1932	0.017066	0.0
ERG7_downstream	ERG7	W3030H01650	unknown	unknown	295109	296840	-	45786	downstream	0	0	1731	0.0152905	0.0
ERG7_downstream	ERG7	W3030H01660	unknown	unknown	297170	297752	+	47847	downstream	15	15	582	0.005141	2917.720287881735
ERG7_downstream	ERG7	W3030H01670	unknown	unknown	298940	300653	-	49617	downstream	0	0	1713	0.0151315	0.0
ERG25_neighborhood	ERG25	W3030G02530	unknown	unknown	506040	507996	-	99695	upstream	0	0	1956	0.017278	0.0
ERG25_neighborhood	ERG25	W3030G02540	unknown	unknown	508538	509726	+	97965	upstream	0	0	1188	0.010494	0.0
ERG25_neighborhood	ERG25	W3030G02550	unknown	unknown	510152	511334	+	96357	upstream	0	0	1182	0.010440999999999999	0.0
ERG25_neighborhood	ERG25	W3030G02560	unknown	unknown	511547	513410	+	94281	upstream	0	0	1863	0.0164565	0.0
ERG25_neighborhood	ERG25	W3030G02570	unknown	unknown	513936	517857	+	89834	upstream	0	0	3921	0.0346355	0.0
ERG25_neighborhood	ERG25	W3030G02580	unknown	unknown	518083	519070	-	88621	upstream	0	0	987	0.008718499999999999	0.0
ERG25_neighborhood	ERG25	W3030G02590	unknown	unknown	519254	519827	+	87864	upstream	0	0	573	0.0050615	0.0
ERG25_neighborhood	ERG25	W3030G02600	unknown	unknown	520780	521674	+	86017	upstream	0	0	894	0.007897	0.0
ERG25_neighborhood	ERG25	W3030G02610	unknown	unknown	522222	523638	+	84053	upstream	0	0	1416	0.012508	0.0
ERG25_neighborhood	ERG25	W3030G02620	unknown	unknown	523966	524323	-	83368	upstream	0	0	357	0.0031535	0.0
ERG25_neighborhood	ERG25	W3030G02630	unknown	unknown	524625	525498	+	82193	upstream	0	0	873	0.0077115000000000005	0.0
ERG25_neighborhood	ERG25	W3030G02640	unknown	unknown	526257	528000	+	79691	upstream	0	0	1743	0.0153965	0.0
ERG25_neighborhood	ERG25	W3030Gtrna13D	unknown	unknown	528690	528762	+	78929	upstream	0	0	72	0.0006360000000000001	0.0
ERG25_neighborhood	ERG25	W3030G02650	unknown	unknown	528963	529677	-	78014	upstream	0	0	714	0.006307	0.0
ERG25_neighborhood	ERG25	W3030G02660	unknown	unknown	530065	530902	+	76789	upstream	0	0	837	0.0073935	0.0
ERG25_neighborhood	ERG25	W3030G02670	unknown	unknown	531213	531540	-	76151	upstream	0	0	327	0.0028885	0.0
ERG25_neighborhood	ERG25	W3030G02680	unknown	unknown	533138	534461	+	73230	upstream	0	0	1323	0.011686499999999999	0.0
ERG25_neighborhood	ERG25	W3030Gtrna14E	unknown	unknown	538931	539003	+	68688	upstream	0	0	72	0.0006360000000000001	0.0
ERG25_neighborhood	ERG25	W3030G02690	unknown	unknown	539284	540373	+	67318	upstream	0	0	1089	0.0096195	0.0
ERG25_neighborhood	ERG25	W3030G02700	unknown	unknown	540652	541287	+	66404	upstream	0	0	635	0.005609166666666667	0.0
ERG25_neighborhood	ERG25	W3030Gtrna14D	unknown	unknown	541658	541730	-	65961	upstream	0	0	72	0.0006360000000000001	0.0
ERG25_neighborhood	ERG25	W3030G02710	unknown	unknown	542762	543239	-	64452	upstream	0	0	477	0.004213499999999999	0.0
ERG25_neighborhood	ERG25	W3030G02720	unknown	unknown	543522	544551	+	63140	upstream	0	0	1029	0.0090895	0.0
ERG25_neighborhood	ERG25	W3030G02730	unknown	unknown	545345	551033	+	56658	upstream	0	0	5688	0.050244	0.0
ERG25_neighborhood	ERG25	W3030G02740	unknown	unknown	551329	552049	-	55642	upstream	0	0	720	0.00636	0.0
ERG25_neighborhood	ERG25	W3030G02750	unknown	unknown	552893	553800	+	53891	upstream	0	0	907	0.008011833333333333	0.0
ERG25_neighborhood	ERG25	W3030G02760	unknown	unknown	554199	554550	-	53141	upstream	0	0	351	0.0031005	0.0
ERG25_neighborhood	ERG25	W3030G02770	unknown	unknown	555276	555996	-	51695	upstream	0	0	720	0.00636	0.0
ERG25_neighborhood	ERG25	W3030G02780	unknown	unknown	556858	557122	-	50569	upstream	0	0	264	0.002332	0.0
ERG25_neighborhood	ERG25	W3030G02790	unknown	unknown	557809	558478	+	49213	upstream	0	0	669	0.0059095	0.0
ERG25_neighborhood	ERG25	W3030Gtrna19S	unknown	unknown	558789	558871	-	48820	upstream	0	0	82	0.0007243333333333333	0.0
ERG25_neighborhood	ERG25	W3030G02800	unknown	unknown	563272	564595	-	43096	upstream	0	0	1323	0.011686499999999999	0.0
ERG25_neighborhood	ERG25	W3030G02810	unknown	unknown	566222	568526	-	39165	upstream	0	0	2304	0.020352000000000002	0.0
ERG25_neighborhood	ERG25	W3030G02820	unknown	unknown	572525	573632	+	34059	upstream	0	0	1107	0.0097785	0.0
ERG25_neighborhood	ERG25	W3030G02830	unknown	unknown	574614	576258	+	31433	upstream	0	0	1644	0.014522	0.0
ERG25_neighborhood	ERG25	W3030G02840	unknown	unknown	576603	577419	+	30272	upstream	0	0	816	0.007208	0.0
ERG25_neighborhood	ERG25	W3030G02850	unknown	unknown	577562	578564	-	29127	upstream	0	0	1002	0.008851	0.0
ERG25_neighborhood	ERG25	W3030G02860	unknown	unknown	580118	581021	-	26670	upstream	0	0	903	0.0079765	0.0
ERG25_neighborhood	ERG25	W3030G02870	unknown	unknown	582023	583181	+	24510	upstream	0	0	1158	0.010229	0.0
ERG25_neighborhood	ERG25	W3030G02880	unknown	unknown	583520	586598	-	21093	upstream	0	0	3078	0.027189	0.0
ERG25_neighborhood	ERG25	W3030G02890	unknown	unknown	586954	588040	+	19651	upstream	0	0	1086	0.009593	0.0
