Sample	Treatment	Scaffold	Position	Ref	Alt	Quality	Variant_Type	Effect	Impact	Gene_ID	Nearest_Gene	Nearest_Gene_SC_ID	Nearest_Gene_ERG	Distance	Position_Relative
CAS-55-1	CAS	w303_scaffold_7	606238	T	TA	197.227	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
CAS-55-1	CAS	w303_scaffold_7	613297	AT	A	159.212	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
CAS-55-1	CAS	w303_scaffold_8	111680	A	AT	228.373	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
CAS-55-1	CAS	w303_scaffold_8	113074	GA	G	212.392	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
CAS-55-2	CAS	w303_scaffold_7	606238	T	TA	187.979	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
CAS-55-2	CAS	w303_scaffold_7	613297	AT	A	103.906	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
CAS-55-2	CAS	w303_scaffold_8	111680	A	AT	228.355	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
CAS-55-2	CAS	w303_scaffold_8	112675	G	GA	129.416	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	3034	upstream
CAS-55-2	CAS	w303_scaffold_8	113074	GA	G	210.359	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
CAS-55-3	CAS	w303_scaffold_7	606238	T	TA	211.147	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
CAS-55-3	CAS	w303_scaffold_7	613297	AT	A	83.9659	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
CAS-55-3	CAS	w303_scaffold_8	111680	A	AT	228.383	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
CAS-55-3	CAS	w303_scaffold_8	113074	GA	G	225.374	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
CAS-CTRL	CAS-CTRL	w303_scaffold_7	606238	T	TA	228.187	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
CAS-CTRL	CAS-CTRL	w303_scaffold_7	613297	AT	A	159.26	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
CAS-CTRL	CAS-CTRL	w303_scaffold_8	111680	A	AT	228.359	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
CAS-CTRL	CAS-CTRL	w303_scaffold_8	113074	GA	G	177.348	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
STC-55-1	STC	w303_scaffold_7	606238	T	TA	122.849	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
STC-55-1	STC	w303_scaffold_7	613297	AT	A	104.864	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
STC-55-1	STC	w303_scaffold_8	111680	A	AT	228.413	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
STC-55-1	STC	w303_scaffold_8	113074	GA	G	187.342	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
STC-55-2	STC	w303_scaffold_7	606238	T	TA	93.952	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
STC-55-2	STC	w303_scaffold_7	613297	AT	A	97.1132	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
STC-55-2	STC	w303_scaffold_8	111680	A	AT	228.415	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
STC-55-2	STC	w303_scaffold_8	113074	GA	G	188.34	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
STC-55-3	STC	w303_scaffold_7	606238	T	TA	173.185	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
STC-55-3	STC	w303_scaffold_7	613297	AT	A	149.187	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
STC-55-3	STC	w303_scaffold_8	111680	A	AT	228.379	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
STC-55-3	STC	w303_scaffold_8	113074	GA	G	200.388	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
STC-CTRL	STC-CTRL	w303_scaffold_7	606238	T	TA	134.943	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
STC-CTRL	STC-CTRL	w303_scaffold_7	613297	AT	A	105.904	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
STC-CTRL	STC-CTRL	w303_scaffold_8	111680	A	AT	228.386	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
STC-CTRL	STC-CTRL	w303_scaffold_8	113074	GA	G	150.403	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
WT-37-55-1	WT-37	w303_scaffold_7	606238	T	TA	186.141	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
WT-37-55-1	WT-37	w303_scaffold_7	613297	AT	A	86.1959	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
WT-37-55-1	WT-37	w303_scaffold_8	111680	A	AT	228.321	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
WT-37-55-1	WT-37	w303_scaffold_8	113074	GA	G	180.326	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
WT-37-55-2	WT-37	w303_scaffold_7	606238	T	TA	199.162	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
WT-37-55-2	WT-37	w303_scaffold_7	613297	AT	A	65.582	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
WT-37-55-2	WT-37	w303_scaffold_8	111680	A	AT	228.401	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
WT-37-55-2	WT-37	w303_scaffold_8	113074	GA	G	180.296	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
WT-37-55-3	WT-37	w303_scaffold_7	606238	T	TA	85.7606	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
WT-37-55-3	WT-37	w303_scaffold_7	613297	AT	A	90.7939	DELETION	upstream_gene_variant	MODIFIER	W3030G03000	W3030G02990	YGR060W	ERG25	4676	downstream
WT-37-55-3	WT-37	w303_scaffold_8	111680	A	AT	228.357	INSERTION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	4029	upstream
WT-37-55-3	WT-37	w303_scaffold_8	113074	GA	G	199.383	DELETION	upstream_gene_variant	MODIFIER	W3030H00610	W3030H00650	YHR007C	ERG11	2635	upstream
WT-CTRL	WT-CTRL	w303_scaffold_7	606238	T	TA	199.134	INSERTION	upstream_gene_variant	MODIFIER	W3030G02960	W3030G02990	YGR060W	ERG25	1453	upstream
