Sample	Treatment	Scaffold	Position	Ref	Alt	Quality	Variant_Type	Effect	Impact	Gene_ID	Nearest_Gene	Nearest_Gene_SC_ID	Nearest_Gene_ERG	Distance	Position_Relative
CAS-55-1	CAS	w303_scaffold_7	608638	C	CA	227.311	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
CAS-55-1	CAS	w303_scaffold_7	608706	C	CT	167.251	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
CAS-55-1	CAS	w303_scaffold_7	848074	G	GAT	205.155	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
CAS-55-1	CAS	w303_scaffold_7	848101	G	GA	109.265	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
CAS-55-1	CAS	w303_scaffold_12	270381	G	GA	228.257	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
CAS-55-1	CAS	w303_scaffold_16	667515	C	CAA	121.102	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
CAS-55-2	CAS	w303_scaffold_7	608638	C	CA	208.185	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
CAS-55-2	CAS	w303_scaffold_7	608706	C	CT	204.242	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
CAS-55-2	CAS	w303_scaffold_7	848074	G	GAT	217.176	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
CAS-55-2	CAS	w303_scaffold_7	848101	G	GA	159.958	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
CAS-55-2	CAS	w303_scaffold_12	270381	G	GA	211.284	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
CAS-55-2	CAS	w303_scaffold_16	667515	C	CAA	149.162	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
CAS-55-3	CAS	w303_scaffold_7	608638	C	CA	208.316	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
CAS-55-3	CAS	w303_scaffold_7	608706	C	CT	199.179	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
CAS-55-3	CAS	w303_scaffold_7	848074	G	GAT	228.232	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
CAS-55-3	CAS	w303_scaffold_7	848101	G	GA	100.815	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
CAS-55-3	CAS	w303_scaffold_12	270381	G	GA	228.248	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
CAS-55-3	CAS	w303_scaffold_16	667515	C	CAA	156.31	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
CAS-CTRL	CAS-CTRL	w303_scaffold_7	608638	C	CA	173.053	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
CAS-CTRL	CAS-CTRL	w303_scaffold_7	608706	C	CT	173.379	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
CAS-CTRL	CAS-CTRL	w303_scaffold_7	848074	G	GAT	217.237	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
CAS-CTRL	CAS-CTRL	w303_scaffold_7	848101	G	GA	141.1	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
CAS-CTRL	CAS-CTRL	w303_scaffold_12	270381	G	GA	228.377	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
CAS-CTRL	CAS-CTRL	w303_scaffold_16	667515	C	CAA	150.217	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
STC-55-1	STC	w303_scaffold_7	608638	C	CA	228.368	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
STC-55-1	STC	w303_scaffold_7	608706	C	CT	124.053	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
STC-55-1	STC	w303_scaffold_7	848074	G	GAT	201.068	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
STC-55-1	STC	w303_scaffold_7	848101	G	GA	82.7699	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
STC-55-1	STC	w303_scaffold_12	270381	G	GA	228.328	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
STC-55-1	STC	w303_scaffold_16	667515	C	CAA	197.184	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
STC-55-2	STC	w303_scaffold_7	608638	C	CA	227.238	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
STC-55-2	STC	w303_scaffold_7	608706	C	CT	150.019	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
STC-55-2	STC	w303_scaffold_7	848074	G	GAT	228.243	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
STC-55-2	STC	w303_scaffold_7	848101	G	GA	134.114	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
STC-55-2	STC	w303_scaffold_12	270381	G	GA	228.233	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
STC-55-2	STC	w303_scaffold_16	667515	C	CAA	188.106	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
STC-55-3	STC	w303_scaffold_7	608638	C	CA	141.026	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
STC-55-3	STC	w303_scaffold_7	608706	C	CT	131.142	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
STC-55-3	STC	w303_scaffold_7	848074	G	GAT	206.192	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
STC-55-3	STC	w303_scaffold_7	848101	G	GA	71.8719	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
STC-55-3	STC	w303_scaffold_12	270381	G	GA	188.344	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
STC-55-3	STC	w303_scaffold_16	667515	C	CAA	128.224	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
STC-CTRL	STC-CTRL	w303_scaffold_7	608638	C	CA	163.248	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
STC-CTRL	STC-CTRL	w303_scaffold_7	608706	C	CT	162.139	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
STC-CTRL	STC-CTRL	w303_scaffold_7	848074	G	GAT	178.063	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
STC-CTRL	STC-CTRL	w303_scaffold_7	848101	G	GA	33.723	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
STC-CTRL	STC-CTRL	w303_scaffold_12	270381	G	GA	228.399	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
STC-CTRL	STC-CTRL	w303_scaffold_16	667515	C	CAA	62.3058	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
WT-37-55-1	WT-37	w303_scaffold_7	608638	C	CA	152.88	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
WT-37-55-1	WT-37	w303_scaffold_7	608706	C	CT	204.241	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
WT-37-55-1	WT-37	w303_scaffold_7	848074	G	GAT	228.238	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
WT-37-55-1	WT-37	w303_scaffold_7	848101	G	GA	51.6115	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
WT-37-55-1	WT-37	w303_scaffold_12	270381	G	GA	228.411	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
WT-37-55-1	WT-37	w303_scaffold_16	667515	C	CAA	145.235	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
WT-37-55-2	WT-37	w303_scaffold_7	608638	C	CA	189.161	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
WT-37-55-2	WT-37	w303_scaffold_7	608706	C	CT	179.058	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
WT-37-55-2	WT-37	w303_scaffold_7	848074	G	GAT	220.182	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
WT-37-55-2	WT-37	w303_scaffold_7	848101	G	GA	101.066	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
WT-37-55-2	WT-37	w303_scaffold_12	270381	G	GA	228.337	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
WT-37-55-2	WT-37	w303_scaffold_16	667515	C	CAA	130.81	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
WT-37-55-3	WT-37	w303_scaffold_7	608638	C	CA	184.124	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
WT-37-55-3	WT-37	w303_scaffold_7	608706	C	CT	147.079	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
WT-37-55-3	WT-37	w303_scaffold_7	848074	G	GAT	167.99	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
WT-37-55-3	WT-37	w303_scaffold_12	270381	G	GA	228.312	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
WT-37-55-3	WT-37	w303_scaffold_16	667515	C	CAA	177.072	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
WT-CTRL	WT-CTRL	w303_scaffold_7	608638	C	CA	228.289	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
WT-CTRL	WT-CTRL	w303_scaffold_7	608706	C	CT	204.158	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
WT-CTRL	WT-CTRL	w303_scaffold_7	848074	G	GAT	228.213	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
WT-CTRL	WT-CTRL	w303_scaffold_7	848101	G	GA	153.971	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
WT-CTRL	WT-CTRL	w303_scaffold_12	270381	G	GA	228.236	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
WT-CTRL	WT-CTRL	w303_scaffold_16	667515	C	CAA	160.141	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
WTA-55-1	WTA	w303_scaffold_7	608638	C	CA	228.225	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
WTA-55-1	WTA	w303_scaffold_7	608706	C	CT	174.04	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
WTA-55-1	WTA	w303_scaffold_7	848074	G	GAT	178.959	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
WTA-55-1	WTA	w303_scaffold_7	848101	G	GA	108.824	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
WTA-55-1	WTA	w303_scaffold_12	270381	G	GA	205.347	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
WTA-55-1	WTA	w303_scaffold_16	667515	C	CAA	224.276	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
WTA-55-2	WTA	w303_scaffold_7	608638	C	CA	228.374	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
WTA-55-2	WTA	w303_scaffold_7	608706	C	CT	157.995	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
WTA-55-2	WTA	w303_scaffold_7	848074	G	GAT	224.189	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
WTA-55-2	WTA	w303_scaffold_7	848101	G	GA	111.825	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
WTA-55-2	WTA	w303_scaffold_12	270381	G	GA	228.355	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
WTA-55-2	WTA	w303_scaffold_16	667515	C	CAA	192.272	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
WTA-55-3	WTA	w303_scaffold_7	608638	C	CA	223.158	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	17	downstream
WTA-55-3	WTA	w303_scaffold_7	608706	C	CT	171.022	INSERTION	downstream_gene_variant	MODIFIER	W3030G02970	W3030G02990	YGR060W	ERG25	85	downstream
WTA-55-3	WTA	w303_scaffold_7	848074	G	GAT	228.249	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	88	downstream
WTA-55-3	WTA	w303_scaffold_7	848101	G	GA	111.92	INSERTION	upstream_gene_variant	MODIFIER	W3030G04060	W3030G04090	YGR175C	ERG1	115	downstream
WTA-55-3	WTA	w303_scaffold_12	270381	G	GA	228.313	INSERTION	upstream_gene_variant	MODIFIER	W3030L01300	W3030L01320	YLR056W	ERG3	206	downstream
WTA-55-3	WTA	w303_scaffold_16	667515	C	CAA	218.153	INSERTION	upstream_gene_variant	MODIFIER	W3030P03310	W3030P03320	YMR202W	ERG2	332	upstream
